"","cell_id","step_ix","simulation_i","sim_time","num_molecules","mult","lib_size"
"1","cell1",778,3,8.00000000000019,2477041,1.28203885609564,1429021
"2","cell2",826,3,56.0083333333308,2505286,3.94636685884906,1577048
"3","cell3",181,1,107.000000000031,2625060,1.86282827076985,1981273
"4","cell4",539,2,117.000000000039,2709169,0.425912237427748,2766950
"5","cell5",536,2,114.000000000037,2666730,2.09428190121632,2607537
"6","cell6",913,3,143.000000000034,2780324,1.50790140624672,3296428
"7","cell7",482,2,60.0083333333306,2525780,0.597185616664144,1599821
"8","cell8",198,1,124.000000000045,2642099,0.354926864523123,2057291
"9","cell9",811,3,41.0083333333316,2454732,1.4347649614359,1263915
"10","cell10",897,3,127.000000000047,2721466,1.00455058019575,2835270
"11","cell11",842,3,72.0000000000034,2580504,0.273186132087495,1810473
"12","cell12",110,1,36.0083333333319,2405652,0.724911232389651,1110196
"13","cell13",790,3,20.0083333333328,2496065,4.0132450306402,1525808
"14","cell14",94,1,20.0083333333328,2480625,0.830313755793488,1451795
"15","cell15",530,2,108.000000000032,2643465,1.12716167884919,2066672
"16","cell16",877,3,107.000000000031,2618809,1.79084025807408,1884486
"17","cell17",90,1,16.0083333333331,2483578,3.35828576733877,1485955
"18","cell18",610,2,188.008333333327,3117071,1.61330392965056,7426050
"19","cell19",918,3,148.00000000003,2805018,0.382890799303733,3405457
"20","cell20",535,2,113.000000000036,2656196,0.46032938792696,2328565
"21","cell21",206,1,132.000000000044,2664714,1.80044718549002,2539217
"22","cell22",584,2,162.000000000017,2939998,0.656076931391228,4949539
"23","cell23",905,3,135.000000000042,2732610,1.13146382266159,2988989
"24","cell24",133,1,59.0083333333306,2402741,1.12931275075539,1093116
"25","cell25",530,2,108.000000000032,2643465,0.49044439461377,2152072
"26","cell26",587,2,165.000000000014,2994708,0.413005805990543,6415633
"27","cell27",235,1,161.000000000018,2913478,0.709853729046246,4065025
"28","cell28",241,1,167.000000000012,2932846,1.00885272400815,4739876
"29","cell29",238,1,164.000000000015,2923527,0.712004800952447,4218745
"30","cell30",559,2,137.00000000004,2756339,0.879788409636105,3034536
"31","cell31",450,2,28.0083333333324,2417567,0.31835864211771,1184209
"32","cell32",241,1,167.000000000012,2932846,0.777294682064178,4765303
"33","cell33",452,2,30.0083333333323,2428558,0.813105180543882,1206982
"34","cell34",434,2,12.0083333333333,2422811,1.09274452834998,1189902
"35","cell35",247,1,173.000000000007,2968770,1.07983809691277,6200017
"36","cell36",453,2,31.0083333333322,2433019,1.53586534102733,1212676
"37","cell37",216,1,142.000000000035,2732332,1.59394428249475,2983296
"38","cell38",851,3,81.0000000000105,2580759,0.447422956489755,1821860
"39","cell39",149,1,75.0000000000058,2508507,0.688343009984239,1582741
"40","cell40",439,2,17.008333333333,2416785,1.52510998149633,1167129
"41","cell41",202,1,128.000000000048,2654004,1.146521326005,2231778
"42","cell42",116,1,42.0083333333316,2396925,0.311905426399108,939397
"43","cell43",240,1,166.000000000013,2932452,1.87005608008789,4315531
"44","cell44",245,1,171.000000000009,2952673,0.458178316020759,5513231
"45","cell45",76,1,2.00833333333333,2402850,0.712004800952447,1098809
"46","cell46",150,1,76.0000000000066,2512308,0.451725100302157,1594127
"47","cell47",126,1,52.008333333331,2388315,0.240920053494484,723051
"48","cell48",226,1,152.000000000026,2822857,2.18597352206606,3615253
"49","cell49",575,2,153.000000000025,2857389,0.419459021709146,3797439
"50","cell50",438,2,16.0083333333331,2417766,0.449574028395956,1184209
"51","cell51",178,1,104.000000000029,2628235,2.73821337339262,1998353
"52","cell52",447,2,25.0083333333326,2405841,0.539919048456387,1127276
"53","cell53",852,3,82.0000000000113,2576525,6.27273848290088,1804780
"54","cell54",924,3,154.000000000024,2852110,0.660379075203629,3797439
"55","cell55",944,3,174.000000000006,2991493,0.430214381240149,6339688
"56","cell56",661,2,239.00833333328,3229881,0.750989435321614,11005536
"57","cell57",424,2,2.00833333333333,2378603,0.643170499954023,637651
"58","cell58",106,1,32.0083333333322,2416963,0.755026239076462,1179983
"59","cell59",923,3,153.000000000025,2842596,0.705551585233845,3638027
"60","cell60",465,2,43.0083333333315,2504469,0.486142250801369,1559968
"61","cell61",867,3,97.0000000000233,2595032,0.477537963176566,1873100
"62","cell62",423,2,1.00833333333333,2373991,0.391495086928536,597798
"63","cell63",183,1,109.000000000033,2622688,0.744270879545458,1975579
"64","cell64",695,2,273.008333333249,3324914,1.55307391627694,16602262
"65","cell65",538,2,116.000000000038,2699193,1.37453494806228,2664470
"66","cell66",911,3,141.000000000036,2766451,1.1615788293484,3074389
"67","cell67",183,1,109.000000000033,2622688,0.447422956489755,1975579
"68","cell68",801,3,31.0083333333322,2467864,1.8531274937099,1337928
"69","cell69",207,1,133.000000000043,2665399,0.456027244114558,2594939
"70","cell70",110,1,36.0083333333319,2405652,1.00670165210195,1115889
"71","cell71",840,3,70.0000000000018,2583345,0.896996984885711,1838940
"72","cell72",221,1,147.000000000031,2768646,0.602300133736209,3119935
"73","cell73",536,2,114.000000000037,2666730,1.32506029421966,2624224
"74","cell74",529,2,107.000000000031,2638514,0.763630526701265,2049592
"75","cell75",862,3,92.0000000000193,2582813,0.780839101950871,1838940
"76","cell76",112,1,38.0083333333318,2398165,0.838918043418291,996330
"77","cell77",75,1,1.00833333333333,2397878,0.458178316020759,996330
"78","cell78",908,3,138.000000000039,2748299,0.813105180543882,3000376
"79","cell79",518,2,96.0000000000225,2657382,0.970133429696537,2334258
"80","cell80",231,1,157.000000000022,2877588,0.60445120564241,4019869
"81","cell81",496,2,74.000000000005,2463841,1.07123380928797,1298075
"82","cell82",473,2,51.0083333333311,2534573,0.197898615370469,1702300
"83","cell83",443,2,21.0083333333328,2409581,0.483991178895168,1138662
"84","cell84",84,1,10.0000000000001,2459420,1.26191072746418,1286689
"85","cell85",613,2,191.008333333324,3124338,1.37111637868304,8945794
"86","cell86",116,1,42.0083333333316,2396925,0.54852333608119,950783
"87","cell87",502,2,80.0000000000097,2500430,0.430214381240149,1548581
"88","cell88",189,1,115.000000000038,2619308,1.12931275075539,1918646
"89","cell89",821,3,51.0083333333311,2475229,0.681889794265637,1429021
"90","cell90",492,2,70.0000000000018,2484950,0.667817740080239,1497341
"91","cell91",848,3,78.0000000000081,2587916,0.688343009984239,1844633
"92","cell92",210,1,136.000000000041,2676620,0.843220187230692,2658777
"93","cell93",73,1,0,2390574,0.98043108971024,842610
"94","cell94",441,2,19.0083333333329,2414740,0.819558396262484,1150049
"95","cell95",230,1,156.000000000022,2865210,0.438818668864952,3979625
"96","cell96",245,1,171.000000000009,2952673,1.63051250490017,5543004
"97","cell97",99,1,25.0083333333326,2455657,0.415156877896744,1280995
"98","cell98",531,2,109.000000000033,2651013,0.359229008335525,2203312
"99","cell99",112,1,38.0083333333318,2398165,1.39174352331188,1013410
"100","cell100",441,2,19.0083333333329,2414740,0.617357637079614,1155742
"101","cell101",926,3,156.000000000022,2868179,0.817573542149446,3991012
"102","cell102",872,3,102.000000000027,2600135,0.537767976550187,1878793
"103","cell103",494,2,72.0000000000034,2466677,1.06262952166317,1337928
"104","cell104",128,1,54.0083333333309,2387030,2.26250424860927,654731
"105","cell105",799,3,29.0083333333323,2465014,1.06693166547557,1309462
"106","cell106",690,2,268.008333333254,3307332,0.757177310982663,12491127
"107","cell107",1043,3,273.008333333249,3208073,0.376437583585131,10444978
"108","cell108",534,2,112.000000000035,2650071,0.632415140423019,2169152
"109","cell109",967,3,197.008333333318,3102807,0.585091558486603,7247319
"110","cell110",769,3,0,2415648,0.694796225702841,1161436
"111","cell111",89,1,15.0083333333331,2481028,0.561429767518395,1451795
"112","cell112",969,3,199.008333333317,3117632,0.668983362828432,8888485
"113","cell113",570,2,148.00000000003,2839565,1.04542094641356,3628979
"114","cell114",868,3,98.0000000000241,2593878,0.247373269213086,1867406
"115","cell115",563,2,141.000000000036,2796795,0.991495721901899,3307815
"116","cell116",794,3,24.0083333333326,2472023,0.367833295960328,1429021
"117","cell117",164,1,90.0000000000177,2550970,1.28666456701664,1736460
"118","cell118",242,1,168.000000000012,2935938,0.681889794265637,4904733
"119","cell119",242,1,168.000000000012,2935938,0.273186132087495,4930409
"120","cell120",453,2,31.0083333333322,2433019,2.25217228579218,1212676
"121","cell121",540,2,118.00000000004,2717559,0.499048682238573,2823883
"122","cell122",834,3,64.0083333333303,2552176,2.34251730585261,1747847
"123","cell123",111,1,37.0083333333319,2401636,0.881939481542306,1019103
"124","cell124",217,1,143.000000000034,2739140,0.499048682238573,2994682
"125","cell125",232,1,158.000000000021,2885961,0.694796225702841,4036559
"126","cell126",422,2,0,2369674,1.24977277750263,523785
"127","cell127",541,2,119.000000000041,2724469,0.382890799303733,2846242
"128","cell128",224,1,150.000000000028,2801818,0.539919048456387,3339940
"129","cell129",918,3,148.00000000003,2805018,0.585091558486603,3507080
"130","cell130",206,1,132.000000000044,2664714,2.21238367590083,2567684
"131","cell131",426,2,4.00833333333332,2392761,2.80574214691719,842610
"132","cell132",938,3,168.000000000012,2956310,0.505501897957175,5855588
"133","cell133",134,1,60.0083333333306,2408452,0.5764872708618,1138662
"134","cell134",783,3,13.0083333333332,2498435,2.39528849107174,1548581
"135","cell135",101,1,27.0083333333324,2454882,0.445826395333154,1269609
"136","cell136",426,2,4.00833333333332,2392761,0.419459021709146,888157
"137","cell137",201,1,127.000000000047,2653432,4.15815932973816,2220392
