"","Burn1_TF1","Burn2_TF1","Burn2_TF2","Burn3_TF1","Burn3_TF2","Burn3_TF3","Burn4_TF1","Burn4_TF2","Burn5_TF1","Burn5_TF2","Burn6_TF1","Burn6_TF2","A1_TF1","A2_TF1","A3_TF1","A3_TF2","A4_TF1","A4_TF2","A4_TF3","A4_TF4","A4_TF5","A4_TF6","B1_TF1","B2_TF1","B2_TF2","B3_TF1","B3_TF2","B3_TF3","B3_TF4","B3_TF5","B4_TF1","B5_TF1","C1_TF1","C2_TF1","C2_TF2","C2_TF3","C2_TF4","C3_TF1","C3_TF2","C4_TF1","C4_TF2","C4_TF3","C5_TF1","C5_TF2","C6_TF1","D1_TF1","D1_TF2","D2_TF1","D3_TF1","D4_TF1","D4_TF2","D5_TF1","D5_TF2","D6_TF1","Target1","Target2","Target3","Target4","Target5","Target6","Target7","Target8","Target9","Target10","Target11","Target12","Target13","Target14","Target15","Target16","Target17","Target18","Target19","Target20","Target21","Target22","Target23","Target24","Target25","Target26","Target27","Target28","Target29","Target30","Target31","Target32","Target33","Target34","Target35","Target36","Target37","Target38","Target39","Target40","Target41","Target42","Target43","Target44","Target45","Target46","Target47","Target48","Target49","Target50","Target51","Target52","Target53","Target54","Target55","Target56","Target57","Target58","Target59","Target60","Target61","Target62","Target63","Target64","Target65","Target66","Target67","Target68","Target69","Target70","Target71","Target72","Target73","Target74","Target75","Target76","Target77","Target78","Target79","Target80","Target81","Target82","Target83","Target84","Target85","Target86","Target87","Target88","Target89","Target90","Target91","Target92","Target93","Target94","Target95","Target96","Target97","Target98","Target99","Target100","Target101","Target102","Target103","Target104","Target105","Target106","Target107","Target108","Target109","Target110","Target111","Target112","Target113","Target114","Target115","Target116","Target117","Target118","Target119","Target120","Target121","Target122","Target123","Target124","Target125","Target126","Target127","Target128","Target129","Target130","Target131","Target132","Target133","Target134","Target135","Target136","Target137","Target138","Target139","Target140"
"cell1",113,98,44,75,59,47,135,83,165,76,57,115,58,45,2,9,91,86,126,101,126,99,106,48,38,0,0,0,0,6,37,11,45,20,62,13,34,3,1,16,6,14,46,82,0,10,10,5,2,0,0,4,4,0,146,70,8,5,62,14,3,122,83,35,0,0,11,88,46,3,122,131,185,120,46,115,80,84,70,72,120,111,150,69,57,0,101,0,13,0,0,0,0,0,0,111,5,73,178,74,0,0,126,0,78,0,0,0,179,0,62,0,65,0,36,44,34,92,110,99,87,0,132,208,8,116,135,0,0,0,0,77,81,0,163,86,0,0,0,90,2,50,141,150,53,37,96,75,108,0,109,109,54,52,3,100,0,10,24,29,75,8,80,136,0,69,92,115,48,0,86,6,58,95,67,128,0,0,19,61,75,69,4,9,14,17,147,1,62,0,97,120,80,100
"cell2",26,15,3,10,11,9,14,27,28,19,7,19,8,13,6,4,0,0,0,0,0,0,0,0,0,18,21,28,25,16,0,0,0,0,0,0,0,11,22,0,0,0,18,16,0,0,0,0,0,0,0,0,0,0,30,0,22,4,0,4,0,20,0,0,0,0,0,12,12,13,17,20,30,23,7,0,0,0,0,0,20,0,38,17,0,0,0,7,0,0,0,0,0,17,13,26,24,6,32,11,0,0,12,0,20,0,0,0,34,0,0,0,7,0,0,5,16,33,20,14,13,0,24,20,2,0,0,13,19,0,0,17,12,0,26,17,0,0,5,0,13,0,0,0,0,0,0,0,0,24,0,0,16,4,0,10,0,30,0,0,23,15,0,15,2,0,28,0,0,0,9,13,0,19,13,22,0,0,20,0,0,16,20,0,11,0,19,0,6,0,23,0,13,0
"cell3",178,125,72,70,119,87,140,109,246,40,65,169,96,79,0,0,108,80,184,130,129,143,128,90,99,0,0,0,0,0,84,0,62,54,105,38,44,0,1,53,24,31,32,88,4,0,8,0,0,0,0,0,0,0,166,126,4,0,119,10,0,78,163,105,0,0,0,84,123,0,138,215,288,158,72,97,181,171,102,143,131,181,209,79,101,0,105,0,18,0,0,0,9,0,0,119,0,124,169,78,0,0,127,0,103,0,0,0,239,0,99,0,92,0,139,70,97,37,170,203,96,0,112,187,22,185,108,0,0,0,0,72,126,0,256,91,0,0,0,160,0,55,173,100,104,106,183,94,142,7,114,132,100,89,0,164,0,59,11,32,150,5,91,115,4,158,88,124,59,6,118,0,108,130,42,129,0,0,6,89,89,82,19,0,4,0,148,0,79,0,169,245,137,106
"cell4",42,43,17,20,24,25,38,38,52,14,25,21,24,14,6,2,30,14,41,31,26,29,28,31,21,0,0,0,2,8,1,0,0,0,0,0,0,20,51,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,32,39,4,27,0,15,0,22,0,0,1,0,0,36,27,42,42,44,57,61,13,0,0,0,0,0,34,21,79,25,26,0,30,0,16,0,0,0,0,22,18,33,19,30,52,30,0,0,32,0,30,0,0,0,64,0,0,0,14,0,0,3,28,46,43,37,28,2,54,61,0,28,38,0,0,0,0,13,28,0,71,29,0,0,8,0,36,0,0,0,0,0,0,0,56,2,40,34,35,24,0,32,0,40,0,0,29,17,0,40,2,2,50,28,13,0,40,30,27,47,27,61,0,0,19,0,0,44,9,0,25,0,50,0,25,0,52,0,37,0
"cell5",48,24,34,37,25,26,76,60,57,22,19,43,27,35,3,0,38,22,61,44,31,51,26,35,27,1,0,0,0,0,32,6,21,3,16,0,6,29,54,0,0,0,56,51,0,0,2,0,0,0,0,0,0,0,60,29,2,5,13,33,0,33,19,6,0,0,0,23,34,4,34,73,98,58,27,38,5,32,16,12,58,65,77,33,41,0,40,0,6,0,0,0,0,0,0,58,0,37,74,32,0,0,56,0,45,0,0,0,97,0,1,0,28,0,0,15,28,55,47,94,26,0,64,47,2,38,59,0,0,0,0,30,35,0,68,29,0,0,0,18,6,33,61,40,26,26,53,23,51,0,44,45,35,28,1,38,0,9,0,2,53,18,0,44,2,0,34,35,23,0,33,0,27,58,29,66,0,0,49,0,11,41,5,0,20,0,59,0,38,0,69,33,45,0
"cell6",136,126,73,62,77,57,73,108,182,41,34,102,42,81,7,5,76,51,122,140,92,94,106,101,76,5,0,0,0,0,79,12,60,48,75,19,64,3,12,6,0,0,69,92,0,0,8,9,0,0,0,0,0,0,170,101,5,8,111,26,0,78,95,78,0,0,0,99,57,0,145,153,172,152,60,73,102,151,80,104,155,148,133,81,79,0,126,0,6,0,0,0,0,0,0,98,0,91,123,98,0,0,103,0,114,0,0,0,158,0,95,0,50,0,77,49,114,63,167,156,81,0,138,196,0,122,130,0,0,0,0,85,60,0,200,84,0,0,0,90,0,67,118,143,94,93,122,94,87,0,90,124,93,58,2,138,0,23,4,20,110,44,73,125,1,23,101,151,52,0,99,0,69,117,58,199,0,0,66,77,117,79,35,0,49,0,173,0,94,0,175,104,135,70
"cell7",55,25,26,28,35,21,32,52,76,30,18,36,17,29,4,1,24,17,82,42,51,48,35,24,19,0,0,0,0,0,24,6,32,13,21,9,9,22,52,0,0,0,52,38,0,2,2,0,0,0,0,0,0,0,53,38,2,2,14,35,1,35,29,11,0,0,0,39,23,6,44,86,110,48,19,44,27,47,16,19,57,55,59,21,31,0,45,0,3,0,0,0,0,0,0,45,0,39,73,33,0,0,48,0,29,0,0,0,65,0,0,0,18,0,0,22,28,51,44,75,33,0,59,48,4,45,59,0,0,0,0,31,19,0,69,41,0,0,3,20,0,25,57,44,21,31,61,26,58,0,40,44,50,25,0,34,0,14,5,2,54,18,1,49,5,2,72,41,41,0,33,0,42,40,36,86,0,0,43,0,23,36,9,0,19,0,51,0,38,0,67,26,57,0
"cell8",54,44,19,21,29,26,31,40,45,26,14,45,26,26,0,0,29,19,26,35,29,33,31,30,16,0,0,0,0,1,21,1,13,5,22,19,7,16,41,0,0,0,33,52,0,3,2,1,0,0,0,0,0,0,71,48,1,1,20,24,0,31,25,8,0,0,0,36,22,4,60,48,71,70,11,39,42,40,35,38,60,64,64,20,35,0,56,0,2,0,0,0,0,0,0,48,0,52,64,27,0,0,36,0,38,0,0,0,87,0,4,0,24,0,4,22,24,52,52,53,41,0,46,68,5,33,54,6,0,0,0,27,21,0,79,32,0,0,0,21,0,19,49,56,31,25,49,36,44,0,24,48,28,32,3,47,0,6,19,15,28,12,12,42,1,2,65,29,39,0,39,1,40,57,22,86,0,0,41,4,41,45,13,2,34,0,68,0,26,0,59,38,44,8
"cell9",22,18,9,11,20,7,26,13,38,9,8,13,8,6,19,19,0,0,0,0,0,0,0,0,0,9,23,36,24,14,0,0,0,0,0,0,0,14,18,0,0,0,17,16,0,0,0,0,0,0,0,0,0,0,22,0,14,6,0,23,0,19,0,0,6,0,0,14,15,23,20,31,41,10,10,0,0,0,0,0,17,0,21,14,0,0,0,12,6,0,0,0,0,17,19,10,14,22,36,15,0,0,18,0,21,0,0,0,14,0,0,0,5,0,0,6,11,23,17,14,18,0,14,22,1,0,0,22,10,0,0,16,13,0,23,19,0,0,5,0,24,0,0,0,0,0,0,0,0,14,0,0,18,10,0,17,0,14,0,0,20,7,0,17,5,1,19,0,0,0,13,17,0,17,24,20,0,0,24,0,0,24,20,0,10,0,30,0,15,0,24,0,21,0
"cell10",27,11,15,16,26,10,29,36,25,11,13,25,19,7,23,16,0,0,0,0,0,0,0,0,0,22,31,45,44,12,0,0,0,0,0,0,0,13,27,0,0,0,22,17,0,0,0,0,0,0,0,0,0,0,31,0,19,12,0,27,0,16,0,0,7,0,0,7,8,25,29,31,64,37,9,0,0,0,0,0,30,0,34,18,0,0,0,12,1,0,0,0,0,17,24,24,19,41,25,13,0,0,36,0,15,0,0,0,53,0,0,0,12,0,0,6,8,22,21,32,26,0,20,34,0,0,0,13,7,0,0,14,20,0,34,11,0,0,13,0,22,0,0,0,0,0,0,0,0,14,0,0,29,21,2,22,0,27,0,0,17,15,0,18,0,0,19,0,0,0,14,24,0,23,18,32,0,0,25,0,0,17,16,0,13,0,23,0,15,0,42,0,28,0
