"","cell_id","step_ix","simulation_i","sim_time","num_molecules","mult","lib_size"
"1","cell1",679,2,113.000000000036,3673209,1.87274041588439,1864144
"2","cell2",1181,3,111.000000000034,3548429,0.479139962947527,1832945
"3","cell3",184,1,122.000000000043,4059216,0.778602439789732,4360069
"4","cell4",1217,3,147.000000000031,4053901,0.453471750646767,4274272
"5","cell5",182,1,120.000000000042,4036277,2.02778877176007,3806286
"6","cell6",743,2,177.000000000003,4210708,0.731544050571671,9663910
"7","cell7",1201,3,131.000000000045,3864452,0.432081573729466,2558323
"8","cell8",619,2,53.008333333331,3044395,0.823521811316062,1684749
"9","cell9",177,1,115.000000000038,3949710,0.588229865225759,2909313
"10","cell10",1216,3,146.000000000032,4038848,2.71115807736183,4219978
"11","cell11",258,1,196.008333333319,4078771,1.56576095034638,6060418
"12","cell12",1267,3,197.008333333318,4189625,0.308018547609125,8376948
"13","cell13",206,1,144.000000000033,4071968,0.352937919135455,5717228
"14","cell14",1221,3,151.000000000027,4094067,0.502669157556557,6622001
"15","cell15",1210,3,140.000000000037,3961611,3.00959789226415,3018509
"16","cell16",717,2,151.000000000027,3944648,0.378606131436216,2885913
"17","cell17",1236,3,166.000000000013,4258871,0.774324404406271,15742850
"18","cell18",1174,3,104.000000000029,3432517,0.434220591421196,1747148
"19","cell19",725,2,159.00000000002,4019102,0.635288254443819,3260302
"20","cell20",1116,3,46.0083333333314,2873540,0.864163147458933,1528754
"21","cell21",716,2,150.000000000028,3936616,1.09303804047405,2839115
"22","cell22",67,1,5.00000000000004,2386293,2.65024292005351,1123166
"23","cell23",679,2,113.000000000036,3673209,4.31733918306412,2020139
"24","cell24",216,1,154.000000000024,4064368,1.31977391579743,4640861
"25","cell25",210,1,148.00000000003,4070641,0.812826722857412,4789056
"26","cell26",744,2,178.000000000002,4214586,0.477000945255797,9929102
"27","cell27",232,1,170.00000000001,4030544,0.363633007594105,3540756
"28","cell28",682,2,116.000000000038,3673732,0.352937919135455,2074738
"29","cell29",710,2,144.000000000033,3892626,0.419247467579086,2675320
"30","cell30",225,1,163.000000000016,4017947,0.69518074981226,3151105
"31","cell31",748,2,182.008333333332,4205039,0.626732183676899,9398718
"32","cell32",257,1,195.00833333332,4086250,0.474861927564067,6403027
"33","cell33",68,1,6.00000000000009,2397917,0.361493989902375,1240163
"34","cell34",573,2,7.00000000000014,2342585,0.941167784361214,1021769
"35","cell35",686,2,120.000000000042,3701874,1.19571088967709,2285331
"36","cell36",1208,3,138.000000000039,3942364,0.511225228323478,2885913
"37","cell37",696,2,130.000000000046,3781842,1.66201674647423,2454629
"38","cell38",738,2,172.000000000008,4135825,0.581812812150569,7448776
"39","cell39",1090,3,20.0083333333328,2627475,2.92189816690322,1380559
"40","cell40",1245,3,175.000000000005,4265152,1.31335686272224,22112826
"41","cell41",1230,3,160.000000000019,4219269,6.06424960376792,10654480
"42","cell42",1129,3,59.0083333333306,2929990,1.27271552657937,1544354
"43","cell43",752,2,186.008333333328,4172774,0.393579255278326,8329110
"44","cell44",1104,3,34.008333333332,2753216,0.601063971376139,1435157
"45","cell45",1229,3,159.00000000002,4203859,0.921916625135644,8986066
"46","cell46",82,1,20.0083333333328,2569775,0.70159780288745,1318160
"47","cell47",68,1,6.00000000000009,2397917,2.29730500091805,1255762
"48","cell48",715,2,149.000000000029,3930438,1.19998892506055,2823515
"49","cell49",1221,3,151.000000000027,4094067,0.479139962947527,6825300
"50","cell50",1256,3,186.008333333328,4244224,1.8160260202788,12852167
"51","cell51",745,2,179.000000000002,4211837,0.509086210631748,9886032
"52","cell52",1104,3,34.008333333332,2753216,0.789297528248382,1442957
"53","cell53",1220,3,150.000000000028,4081879,0.791436545940112,6076018
"54","cell54",574,2,8.00000000000019,2352473,0.791436545940112,1048461
"55","cell55",575,2,9.00000000000013,2367407,0.971114032045434,1123166
"56","cell56",260,1,198.008333333318,4071187,1.87177898462537,5709429
"57","cell57",637,2,71.0000000000026,3028055,0.280211317616634,1583352
"58","cell58",710,2,144.000000000033,3892626,0.573256741383649,2776717
"59","cell59",115,1,53.008333333331,2940806,1.48233926036891,1575553
"60","cell60",1225,3,155.000000000023,4148179,0.67806860827842,7893363
"61","cell61",1259,3,189.008333333326,4225223,0.67806860827842,10974271
"62","cell62",227,1,165.000000000014,4013047,0.63742727213555,3119906
"63","cell63",1172,3,102.000000000027,3377673,1.17218169506806,1747148
"64","cell64",210,1,148.00000000003,4070641,0.971021530697843,4812456
"65","cell65",126,1,64.0083333333303,3022090,1.56789996803811,1583352
"66","cell66",209,1,147.000000000031,4071058,0.894109395143153,5405238
"67","cell67",244,1,182.008333333332,4071024,0.785019492864922,4867054
"68","cell68",1164,3,94.0000000000209,3222888,1.33474703963954,1739348
"69","cell69",630,2,64.0083333333303,3023135,0.827799846699522,1583352
"70","cell70",732,2,166.000000000013,4064267,0.406413361428706,4430267
"71","cell71",716,2,150.000000000028,3936616,3.52459457777429,2862514
"72","cell72",79,1,17.008333333333,2538187,1.04384063356426,1286961
"73","cell73",82,1,20.0083333333328,2569775,0.344381848368535,1325960
"74","cell74",687,2,121.000000000042,3714047,0.408552379120436,2300931
"75","cell75",242,1,180.000000000001,4067121,2.72296952157233,4773457
"76","cell76",1218,3,148.00000000003,4063696,0.419247467579086,4375669
"77","cell77",94,1,32.0083333333322,2770964,1.16387554497134,1489755
"78","cell78",137,1,75.0000000000058,3108023,2.28418577899515,1731548
"79","cell79",93,1,31.0083333333322,2755101,0.855607076692013,1481956
"80","cell80",1110,3,40.0083333333317,2820251,2.02137171868488,1528754
"81","cell81",656,2,90.0000000000177,3250720,0.67316059777527,1747148
"82","cell82",688,2,122.000000000043,3731096,0.575395759075379,2324330
"83","cell83",727,2,161.000000000018,4027776,0.395718272970056,3361699
"84","cell84",680,2,114.000000000037,3674239,0.479139962947527,2098137
"85","cell85",1139,3,69.000000000001,2911127,0.287531360231636,1528754
"86","cell86",1115,3,45.0083333333314,2865362,0.63742727213555,1528754
"87","cell87",177,1,115.000000000038,3949710,4.11674478420296,2963911
"88","cell88",685,2,119.000000000041,3695559,2.46435004160581,2191734
"89","cell89",687,2,121.000000000042,3714047,0.340103812985075,2316530
"90","cell90",682,2,116.000000000038,3673732,1.21496204890266,2090337
"91","cell91",636,2,70.0000000000018,3030701,0.67165155520323,1653550
"92","cell92",1267,3,197.008333333318,4189625,1.75597428967091,8730172
"93","cell93",1200,3,130.000000000046,3857048,0.797853599015302,2534924
"94","cell94",252,1,190.008333333325,4125796,2.39417359802662,7394178
"95","cell95",620,2,54.0083333333309,3047603,1.15729206068941,1708149
"96","cell96",637,2,71.0000000000026,3028055,0.440637644496387,1606752
"97","cell97",254,1,192.008333333323,4111889,2.04276189560218,6828806
"98","cell98",684,2,118.00000000004,3685400,2.57751631853469,2144936
"99","cell99",1197,3,127.000000000047,3807675,1.65132165801558,2472526
"100","cell100",687,2,121.000000000042,3714047,0.434220591421196,2324330
"101","cell101",174,1,112.000000000035,3874245,0.631010219060359,2667520
"102","cell102",222,1,160.000000000019,4030788,0.568978706000189,3541094
"103","cell103",207,1,145.000000000032,4074228,0.468444874488877,5888823
"104","cell104",71,1,9.00000000000013,2432052,0.419247467579086,1286961
"105","cell105",1216,3,146.000000000032,4038848,0.434220591421196,4243984
"106","cell106",233,1,171.000000000009,4029323,0.761490298255891,3431897
"107","cell107",694,2,128.000000000048,3775436,0.462027821413687,2449126
"108","cell108",1255,3,185.008333333329,4247704,0.423525502962546,15011398
"109","cell109",1199,3,129.000000000047,3843587,1.30907882733878,2472526
"110","cell110",177,1,115.000000000038,3949710,1.61495835725617,3002910
"111","cell111",1195,3,125.000000000046,3774741,0.308018547609125,2410128
"112","cell112",249,1,187.008333333328,4120573,2.16468590403079,7370779
"113","cell113",716,2,150.000000000028,3936616,0.419247467579086,2878114
"114","cell114",221,1,159.00000000002,4037551,0.419247467579086,3985680
"115","cell115",207,1,145.000000000032,4074228,0.733683068263401,6021419
"116","cell116",1118,3,48.0083333333313,2879521,1.66629478185769,1528754
"117","cell117",681,2,115.000000000038,3672995,0.66095646674458,1856344
"118","cell118",683,2,117.000000000039,3675929,0.554005582158078,2121536
