"","cell_id","step_ix","simulation_i","sim_time","num_molecules","mult","lib_size"
"1","cell1",3225,3,579.008333332971,5016044,0.322660785930112,2477111
"2","cell2",824,1,582.008333332968,5127920,3.37092208683632,2882245
"3","cell3",831,1,589.008333332962,5149858,0.499764812433713,3414709
"4","cell4",534,1,292.008333333232,5611992,0.862579834386499,5949695
"5","cell5",3259,3,613.00833333294,4953239,0.608753349454811,1655265
"6","cell6",3572,3,926.008333332656,5130554,0.63456621232922,3021149
"7","cell7",785,1,543.008333333004,5375306,0.511955113675778,4572237
"8","cell8",3231,3,585.008333332966,4999629,0.342020433085919,2083551
"9","cell9",1028,1,786.008333332783,6093438,0.755026239076462,16779094
"10","cell10",3174,3,528.008333333018,5208218,0.722760160483451,3738816
"11","cell11",583,1,341.008333333188,6127179,0.625961924704417,18123571
"12","cell12",3228,3,582.008333332968,5001529,1.09892509733858,2345896
"13","cell13",272,1,30.0083333333323,5327807,1.00024843638335,4398608
"14","cell14",3224,3,578.008333332972,5029283,0.817407324356284,2569713
"15","cell15",3226,3,580.00833333297,5007768,0.443120812677354,2384508
"16","cell16",3318,3,672.008333332887,5717095,1.31339870590919,7118799
"17","cell17",1659,2,215.008333333302,5897973,0.514106185581978,10556658
"18","cell18",1960,2,516.008333333028,5243698,0.496897610332372,3947172
"19","cell19",1789,2,345.008333333184,6005546,0.806772221768971,12596706
"20","cell20",837,1,595.008333332957,5107500,0.535616904643986,2835944
"21","cell21",1659,2,215.008333333302,5897973,0.589393702299004,10707137
"22","cell22",1774,2,330.008333333198,5953756,0.659369428530125,11366928
"23","cell23",3383,3,737.008333332827,5540897,0.436667596958752,5278329
"24","cell24",998,1,756.00833333281,5619101,0.363531152147926,6075725
"25","cell25",2795,3,149.000000000029,4927027,1.56167820390174,1470061
"26","cell26",3010,3,364.008333333167,6116496,0.821709468168685,17809614
"27","cell27",368,1,126.000000000046,5009363,1.02606129925776,2442385
"28","cell28",3001,3,355.008333333175,6169783,0.580789414674202,24140528
"29","cell29",1660,2,216.008333333301,5890964,4.11358254119824,10510357
"30","cell30",2823,3,177.000000000003,5129062,0.449574028395956,2893821
"31","cell31",2132,2,688.008333332872,5713360,3.25414470298913,7104540
"32","cell32",1651,2,207.008333333309,5803504,2.52048071673333,9595910
"33","cell33",826,1,584.008333332967,5142640,0.916356632041518,3044299
"34","cell34",3365,3,719.008333332844,5558215,0.853975546761696,5428808
"35","cell35",433,1,191.008333333324,5332024,0.421610093615346,4410183
"36","cell36",2124,2,680.008333332879,5764126,2.51460305834867,8044649
"37","cell37",1581,2,137.00000000004,4878749,0.905601272510514,1377459
"38","cell38",2982,3,336.008333333192,6169835,1.12907143023344,26602752
"39","cell39",1725,2,281.008333333242,5523465,0.447422956489755,5058399
"40","cell40",824,1,582.008333332968,5127920,0.908281943991344,2882245
"41","cell41",3232,3,586.008333332965,4996664,1.47348425574751,1852045
"42","cell42",939,1,697.008333332864,5488749,0.314056498305309,4887619
"43","cell43",2105,2,661.008333332897,5602299,0.645321571860224,5938120
"44","cell44",2837,3,191.008333333324,5484776,0.344171504992119,4873194
"45","cell45",830,1,588.008333332963,5150816,0.440969740771153,3472585
"46","cell46",3223,3,577.008333332973,5038008,0.80665196482528,2616014
"47","cell47",463,1,221.008333333297,5788722,0.817407324356284,8774065
"48","cell48",2927,3,281.008333333242,5572220,0.535616904643986,5614012
"49","cell49",3029,3,383.008333333149,6046931,2.1831142269736,13374061
"50","cell50",516,1,274.008333333248,5569602,1.60955573317692,5602437
"51","cell51",2212,2,768.008333332799,5651371,1.09878819263333,6389556
"52","cell52",1997,2,553.008333332995,5262585,0.527012617019183,4109225
"53","cell53",924,1,682.008333332877,5564155,0.273186132087495,5475109
"54","cell54",256,1,14.0083333333332,5170381,0.387192943116134,3576762
"55","cell55",2082,2,638.008333332917,5306839,0.496897610332372,4375457
