"","cell_id","step_ix","simulation_i","sim_time","num_molecules","mult","lib_size"
"1","cell1",108,1,34.008333333332,2642034,0.585091558486603,1642823
"2","cell2",838,3,92.0000000000193,2896973,3.61972533835556,3720094
"3","cell3",860,3,114.000000000037,2967919,0.602300133736209,9877223
"4","cell4",499,2,89.0000000000169,2851259,0.314056498305309,2634383
"5","cell5",800,3,54.0083333333309,2700034,0.684040866171837,1977254
"6","cell6",834,3,88.0000000000161,2857814,0.503350826050975,2657852
"7","cell7",750,3,4.00833333333332,2566695,0.436667596958752,1114772
"8","cell8",206,1,132.000000000044,2821781,1.38959245140568,2382073
"9","cell9",846,3,100.000000000026,2977186,1.12931275075539,12872689
"10","cell10",410,2,0,2496409,0.550674407987391,874216
"11","cell11",431,2,21.0083333333328,2549915,0.382890799303733,1032631
"12","cell12",821,3,75.0000000000058,2717291,0.759328382888863,2006590
"13","cell13",881,3,135.000000000042,2870817,0.630264068516819,2916010
"14","cell14",822,3,76.0000000000066,2733308,0.608753349454811,2012458
"15","cell15",527,2,117.000000000039,2874160,1.49929711862192,3092027
"16","cell16",808,3,62.0083333333305,2674863,2.40090546630615,1748433
"17","cell17",879,3,133.000000000043,2892599,0.804500892919079,3490998
"18","cell18",848,3,102.000000000027,2987142,0.832464827699689,16594256
"19","cell19",118,1,44.0083333333315,2686254,2.45007090116265,1854043
"20","cell20",413,2,3.00833333333333,2525088,0.974435573508938,973959
"21","cell21",860,3,114.000000000037,2967919,0.993795220664745,10192359
"22","cell22",200,1,126.000000000046,2863350,0.869033050105101,2710657
"23","cell23",884,3,138.000000000039,2836874,2.22420835101157,2470101
"24","cell24",169,1,95.0000000000217,2918347,0.479689035082766,4089455
"25","cell25",896,3,150.000000000028,2845015,0.361380080241725,2615275
"26","cell26",866,3,120.000000000042,2955740,1.23686634606543,6548665
"27","cell27",226,1,152.000000000026,2813022,1.1529745417236,2379803
"28","cell28",474,2,64.0083333333303,2583153,0.630264068516819,1302524
"29","cell29",75,1,1.00833333333333,2477621,0.477537963176566,850747
"30","cell30",775,3,29.0083333333323,2569342,0.587242630392804,1167578
"31","cell31",754,3,8.00000000000019,2566214,0.905601272510514,1097171
"32","cell32",572,2,162.000000000017,2808338,1.4326138895297,2218947
"33","cell33",792,3,46.0083333333314,2683493,1.13361489456779,1777769
"34","cell34",411,2,1.00833333333333,2502371,0.339869361179718,950490
