"","Burn1_TF1","Burn1_TF2","Burn1_TF3","Burn1_TF4","Burn2_TF1","Burn2_TF2","Burn2_TF3","Burn2_TF4","Burn3_TF1","Burn4_TF1","Burn4_TF2","Burn5_TF1","Burn5_TF2","Burn5_TF3","Burn5_TF4","Burn6_TF1","Burn6_TF2","Burn6_TF3","A1_TF1","A1_TF2","A2_TF1","A2_TF2","A3_TF1","A4_TF1","A4_TF2","B1_TF1","B1_TF2","B2_TF1","B2_TF2","B3_TF1","B3_TF2","B3_TF3","B3_TF4","B4_TF1","B4_TF2","B5_TF1","B5_TF2","B6_TF1","B6_TF2","C1_TF1","C2_TF1","C2_TF2","C3_TF1","C4_TF1","C4_TF2","C5_TF1","C6_TF1","D1_TF1","D1_TF2","D2_TF1","D3_TF1","D3_TF2","D4_TF1","D5_TF1","D5_TF2","D6_TF1","E1_TF1","E2_TF1","E2_TF2","E3_TF1","E3_TF2","E3_TF3","E4_TF1","E4_TF2","E5_TF1","E6_TF1","F1_TF1","F1_TF2","F2_TF1","F2_TF2","F2_TF3","F2_TF4","F3_TF1","F3_TF2","F4_TF1","F4_TF2","F5_TF1","F5_TF2","F5_TF3","F6_TF1","Target1","Target2","Target3","Target4","Target5","Target6","Target7","Target8","Target9","Target10","Target11","Target12","Target13","Target14","Target15","Target16","Target17","Target18","Target19","Target20","Target21","Target22","Target23","Target24","Target25","Target26","Target27","Target28","Target29","Target30","Target31","Target32","Target33","Target34","Target35","Target36","Target37","Target38","Target39","Target40","Target41","Target42","Target43","Target44","Target45","Target46","Target47","Target48","Target49","Target50","Target51","Target52","Target53","Target54","Target55","Target56","Target57","Target58","Target59","Target60","Target61","Target62","Target63","Target64","Target65","Target66","Target67","Target68","Target69","Target70","Target71","Target72","Target73","Target74","Target75","Target76","Target77","Target78","Target79","Target80","Target81","Target82","Target83","Target84","Target85","Target86","Target87","Target88","Target89","Target90","Target91","Target92","Target93","Target94","Target95","Target96","Target97","Target98","Target99","Target100","Target101","Target102","Target103","Target104","Target105","Target106","Target107","Target108","Target109","Target110","Target111","Target112","Target113","Target114","Target115","Target116","Target117","Target118","Target119","Target120","Target121","Target122","Target123","Target124","Target125","Target126","Target127","Target128","Target129","Target130","Target131","Target132","Target133","Target134","Target135","Target136","Target137","Target138","Target139","Target140"
"cell1",29,20,15,27,17,13,18,9,22,29,7,13,11,22,12,41,10,12,4,13,4,5,17,1,0,2,2,0,0,15,24,9,14,0,0,27,21,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,0,0,10,6,18,0,18,13,0,0,0,30,0,20,24,0,0,0,18,0,9,6,0,9,18,0,0,26,0,0,0,0,0,24,0,0,24,0,0,0,20,11,14,0,0,18,10,0,20,0,31,0,23,25,0,17,0,11,10,0,0,14,0,0,0,0,28,0,0,15,19,15,0,19,0,16,14,10,17,14,0,0,0,0,16,16,0,5,0,29,0,0,20,12,28,11,0,12,0,0,0,0,0,0,0,0,9,1,0,25,0,32,2,19,0,22,7,8,33,4,11,0,0,0,0,12,23,0,0,0,0,0,0,0,13,25,0,14,0,0,28,5,13,13,21,0
"cell2",35,23,36,40,14,35,23,31,18,24,18,19,13,39,17,40,12,26,11,16,25,28,0,37,51,15,32,20,24,0,0,0,0,25,42,0,0,29,28,53,9,21,0,2,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,19,0,0,27,9,23,0,0,34,0,0,0,0,23,25,41,14,0,0,23,0,19,0,0,0,24,0,24,39,21,0,25,16,23,25,13,9,0,0,0,40,25,26,11,19,19,28,38,0,17,21,38,0,7,38,33,19,0,27,16,0,0,17,0,0,1,1,49,32,0,14,0,0,32,1,0,20,33,8,22,35,0,0,0,1,21,0,38,0,15,30,44,25,0,35,0,0,0,26,0,0,0,0,21,0,16,41,2,38,0,28,0,15,29,21,0,27,13,3,31,4,35,0,0,0,0,0,0,0,3,0,0,0,0,0,17,0,0,12,13,0,28,0,17,1,0,0
"cell3",15,23,15,28,16,39,24,14,19,24,8,27,16,23,33,16,11,25,14,20,11,35,0,28,30,22,31,15,19,0,0,0,0,28,32,0,13,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,22,0,0,25,10,7,0,4,35,0,0,0,0,29,43,27,27,0,0,27,0,26,0,0,18,24,0,24,33,10,0,23,16,19,20,0,0,25,0,0,39,15,10,21,0,0,23,20,0,20,31,47,0,19,31,0,24,0,8,11,0,0,25,0,0,0,0,32,0,0,13,0,1,25,0,0,32,22,9,15,17,0,0,0,0,18,0,24,0,7,24,0,0,38,23,0,0,0,19,0,0,0,0,5,0,14,25,33,4,0,26,0,17,17,32,0,29,14,4,40,5,11,0,0,0,0,9,25,0,0,0,0,0,0,0,25,0,0,18,0,0,25,0,30,10,17,0
"cell4",44,37,20,47,15,33,42,24,37,21,24,24,21,57,17,47,14,32,22,39,32,25,0,49,47,29,23,21,20,0,0,0,1,44,39,0,0,44,30,51,9,11,0,50,51,0,0,14,23,41,8,6,7,15,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,38,0,0,37,31,23,0,0,31,28,0,13,0,22,40,30,26,0,0,27,0,25,0,0,3,39,0,36,35,27,0,30,26,37,34,44,0,3,0,0,45,30,24,19,46,31,34,21,0,26,23,0,0,0,67,54,20,4,20,0,32,27,0,22,30,34,37,0,39,27,0,0,0,44,3,0,35,30,10,25,36,33,11,28,9,58,0,34,0,34,30,46,26,0,34,0,0,0,39,50,35,28,18,16,0,12,40,0,57,0,34,0,22,33,29,0,37,23,4,38,0,38,0,0,0,0,0,0,0,0,0,25,52,57,0,31,0,0,23,20,10,10,0,0,3,0,0
"cell5",23,15,22,24,13,12,13,17,24,22,18,11,5,22,11,28,12,19,7,7,7,5,17,1,0,0,1,0,0,23,23,20,12,0,0,18,18,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,0,0,14,11,21,0,24,22,0,0,0,13,0,24,24,0,0,0,18,0,15,3,0,9,9,0,0,16,0,0,0,0,0,25,0,0,30,0,0,0,15,8,10,0,0,26,7,0,11,0,28,0,33,35,0,15,0,17,14,0,0,17,0,0,0,0,40,0,0,20,16,27,0,15,0,14,22,10,16,14,0,0,0,0,13,15,0,3,0,18,0,0,33,12,16,14,0,27,0,0,0,0,0,0,0,0,14,1,0,28,0,21,5,29,0,20,12,6,36,5,26,0,0,0,0,16,18,0,0,0,0,0,0,0,9,20,0,16,0,0,26,12,18,17,21,0
"cell6",31,20,46,28,29,37,29,13,30,13,16,15,14,37,23,41,23,10,14,28,11,30,0,34,34,20,26,24,13,0,0,0,0,23,43,0,0,26,21,50,6,14,1,10,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,19,0,0,24,12,23,1,0,17,0,0,0,0,22,38,20,3,0,0,32,0,12,0,0,2,24,0,18,20,18,0,36,20,27,10,0,3,0,0,0,36,21,30,7,15,16,34,15,0,22,22,39,2,12,28,41,17,0,9,8,0,0,19,0,0,3,0,50,30,0,16,0,0,24,0,0,35,27,11,15,31,0,0,0,0,33,0,31,0,12,15,40,15,1,23,0,0,0,19,0,0,0,0,9,0,27,32,4,30,0,26,0,20,16,31,0,21,18,2,34,3,12,0,0,0,0,0,0,0,1,9,0,0,0,0,21,0,0,11,13,0,29,0,32,1,0,0
"cell7",21,21,17,35,10,22,18,18,38,11,8,23,12,24,18,13,13,25,23,19,17,41,0,46,39,27,15,5,32,0,0,0,0,15,21,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,0,0,16,19,12,0,0,35,0,0,0,0,21,29,37,19,0,0,16,0,37,0,0,19,23,0,36,28,8,0,23,12,22,25,0,0,27,0,0,27,16,12,12,0,0,33,19,0,21,21,34,0,14,39,0,23,0,12,16,0,0,14,0,0,0,0,39,0,0,22,0,1,29,1,0,31,23,14,24,19,0,0,0,0,20,0,35,0,12,25,0,0,20,18,1,0,0,17,0,0,0,0,17,0,24,25,39,14,0,25,0,23,19,22,0,31,14,0,46,1,13,0,0,0,0,7,29,0,0,0,0,0,0,0,20,0,0,15,0,0,27,0,12,10,11,0
"cell8",53,41,25,40,17,31,31,32,32,12,8,24,26,33,12,50,14,30,18,31,25,47,0,50,40,10,29,16,21,0,0,0,0,30,37,0,0,29,19,42,8,21,0,21,13,1,0,11,14,12,9,16,2,4,15,2,0,0,2,0,0,0,0,0,3,0,4,1,14,7,8,1,2,5,0,0,30,6,22,0,0,29,23,0,4,1,19,41,31,11,0,0,33,0,27,0,0,0,23,0,18,36,32,0,29,19,32,13,36,16,0,0,0,44,18,28,0,22,17,23,18,2,18,24,9,0,5,54,45,33,0,17,10,3,10,2,6,21,23,16,22,32,26,0,21,0,26,4,1,26,25,27,26,18,28,4,32,3,14,0,30,0,15,27,47,27,0,15,0,0,0,25,0,3,4,5,22,0,22,31,0,38,51,22,2,19,21,35,0,58,9,1,35,4,12,0,4,0,0,0,0,0,5,9,12,18,14,0,36,0,0,28,15,0,23,0,30,6,0,9
"cell9",23,17,13,28,18,17,26,20,28,14,3,11,10,21,20,33,9,11,16,32,12,35,0,24,35,20,19,13,9,5,1,1,15,0,0,28,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,24,17,29,0,27,12,0,0,0,6,4,17,44,13,0,0,12,0,21,0,0,8,17,0,22,16,0,0,0,0,0,30,0,0,16,0,0,27,23,17,15,0,0,16,18,0,14,0,35,0,29,37,0,24,0,6,18,0,0,23,0,0,0,0,49,0,0,20,21,23,24,1,0,19,15,16,24,10,0,0,0,0,20,18,1,0,0,41,0,0,27,16,1,13,0,26,0,0,0,0,9,0,4,18,16,1,0,36,0,22,17,9,0,36,11,3,33,7,14,0,0,0,0,18,17,0,0,0,0,0,0,0,15,0,0,16,0,0,33,20,11,16,15,0
"cell10",25,22,21,14,9,16,13,22,22,11,11,9,4,22,28,30,3,23,9,21,12,21,1,7,1,0,0,0,0,16,35,14,21,0,0,20,24,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,11,0,0,18,15,10,0,29,36,0,0,0,20,0,33,7,0,0,0,28,0,17,0,0,9,29,0,0,32,0,0,0,0,0,11,0,0,26,0,0,0,12,26,16,0,0,20,16,0,21,0,24,0,28,38,0,15,0,21,17,0,0,18,0,0,0,0,34,0,0,10,27,13,0,16,0,33,21,12,8,8,0,0,0,0,19,36,0,3,0,21,0,0,39,9,17,16,0,8,0,0,0,0,0,0,0,0,11,0,0,19,0,10,12,29,0,37,9,1,27,5,13,0,0,0,0,24,15,0,0,0,0,0,0,0,19,24,0,27,0,0,39,7,19,26,13,0
