"","cell_id","step_ix","simulation_i","sim_time","num_molecules","mult","lib_size"
"1","cell1",659,1,417.008333333118,8150135,1.55267292468811,8242714
"2","cell2",3193,3,547.008333333,6770801,0.990654586143856,6985300
"3","cell3",2021,2,577.008333332973,6856618,1.36569945497182,7218067
"4","cell4",719,1,477.008333333064,7133521,0.973988832166485,7453768
"5","cell5",3532,3,886.008333332692,7888334,0.965423836130103,8103273
"6","cell6",2047,2,603.008333332949,7634609,1.02213241386227,7853109
"7","cell7",2170,2,726.008333332837,10818909,1.08518880856118,11002560
"8","cell8",743,1,501.008333333042,6652526,1.32554552764021,6478245
"9","cell9",833,1,591.00833333296,7077289,0.805609427604925,7434286
"10","cell10",2153,2,709.008333332853,10945504,1.08511065831354,13982241
"11","cell11",770,1,528.008333333018,6559494,0.848529409991724,5821430
"12","cell12",1972,2,528.008333333018,6599709,1.16302518226802,6121760
"13","cell13",755,1,513.008333333031,6568989,0.990881581874649,5934621
"14","cell14",782,1,540.008333333007,6664208,1.35527004108773,6501899
"15","cell15",1138,1,896.008333332683,8577752,1.12748324643253,8632584
"16","cell16",2141,2,697.008333332864,10928676,1.04555930608841,13020336
"17","cell17",2913,3,267.008333333255,10823698,0.732994002552474,11142914
"18","cell18",2230,2,786.008333332783,10774321,1.08545827074967,10591455
"19","cell19",453,1,211.008333333306,10844752,1.0239076304354,11677968
"20","cell20",3457,3,811.00833333276,10099597,1.16358970716722,9392236
"21","cell21",3216,3,570.008333332979,7171849,0.987927867738381,7487840
"22","cell22",2150,2,706.008333332856,10933166,0.817549998223072,13103649
"23","cell23",1922,2,478.008333333063,7012004,1.04559712391293,7359438
"24","cell24",1929,2,485.008333333057,6941664,1.18533450141709,7258149
"25","cell25",1913,2,469.008333333071,7232612,0.791264715500094,7502566
"26","cell26",3139,3,493.008333333049,6676847,0.640019473097524,6505479
"27","cell27",3606,3,960,6893887,1.18530251418448,7232099
"28","cell28",414,1,172.000000000008,10502014,0.930412136428909,9865840
"29","cell29",370,1,128.000000000048,9416011,0.666027605547892,9148422
"30","cell30",2793,3,147.000000000031,10478776,1.36515702525502,9770784
"31","cell31",1900,2,456.008333333083,7511580,1.06630071434775,7663609
"32","cell32",737,1,495.008333333047,6755833,1.36373900001204,6975738
"33","cell33",2130,2,686.008333332874,10901904,1.08638476032584,12189418
"34","cell34",1046,1,804.008333332766,10422166,1.03771432458731,9569329
"35","cell35",392,1,150.000000000028,9931908,0.706131986791596,9313544
"36","cell36",3556,3,910.00833333267,7711494,1.5319349499126,7903154
"37","cell37",3349,3,703.008333332858,10781509,1.11171943269772,10688572
"38","cell38",2169,2,725.008333332838,10833049,0.835127239055857,11299469
"39","cell39",524,1,282.008333333241,10683196,0.821993453054511,10288414
"40","cell40",2368,2,924.008333332657,8037202,1.11518927497088,8229808
"41","cell41",1648,2,204.008333333312,10963366,0.930468988765761,14583894
"42","cell42",1725,2,281.008333333242,10872371,1.67737192512057,11891418
"43","cell43",1974,2,530.008333333016,6589237,1.15999303783732,6048671
"44","cell44",1718,2,274.008333333248,10912892,1.00517160258924,12831599
"45","cell45",2666,3,20.0083333333328,6419461,0.64468316767391,5695458
"46","cell46",3258,3,612.008333332941,9308134,0.865782407238416,9011053
"47","cell47",2166,2,722.008333332841,10871730,0.802916801231202,11828224
"48","cell48",758,1,516.008333333028,6564015,1.23672623498722,5871656
"49","cell49",1133,1,891.008333332687,8765798,1.32543418710237,8734673
"50","cell50",826,1,584.008333332967,6917889,1.05644430140674,7246641
"51","cell51",2072,2,628.008333332927,9199789,0.933515116965375,8861527
"52","cell52",2156,2,712.00833333285,10952115,1.12986513528405,14467149
"53","cell53",2790,3,144.000000000033,10376173,0.763836256987544,9527968
"54","cell54",1922,2,478.008333333063,7012004,1.20469364599117,7362427
"55","cell55",684,1,442.008333333096,7623516,1.08915876620409,7837112
"56","cell56",2945,3,299.008333333226,10470221,0.71085780772965,9634772
"57","cell57",756,1,514.00833333303,6568744,1.41781386212388,5899435
"58","cell58",1558,2,114.000000000037,9245839,0.682520845554044,8988954
"59","cell59",3032,3,386.008333333147,8340721,1.23935246199814,8512983
"60","cell60",2872,3,226.008333333292,10882653,0.888971136101622,12022634
"61","cell61",756,1,514.00833333303,6568744,0.965346741630557,5899565
"62","cell62",724,1,482.008333333059,7064356,1.07105506502781,7382148
"63","cell63",2980,3,334.008333333194,9959589,1.16702477333512,9340140
"64","cell64",3175,3,529.008333333017,6648025,1.00337765136994,6438116
"65","cell65",1842,2,398.008333333136,8482768,1.0735476608108,8579019
"66","cell66",706,1,464.008333333076,7377723,1.29894443761485,7634729
"67","cell67",2035,2,591.00833333296,7065020,1.08665652719542,7426854
"68","cell68",3486,3,840.008333332734,9165751,1.10414251729254,8861267
"69","cell69",1474,2,30.0083333333323,6564368,0.635831022121487,5897755
"70","cell70",2826,3,180.000000000001,10868923,1.13922143206801,11685923
"71","cell71",3419,3,773.008333332795,10705753,1.06667027864675,10296005
