"","Burn1_TF1","Burn1_TF2","Burn1_TF3","Burn1_TF4","Burn1_TF5","Burn1_TF6","Burn1_TF7","Burn2_TF1","Burn2_TF2","Burn2_TF3","Burn2_TF4","Burn2_TF5","Burn2_TF6","Burn2_TF7","Burn2_TF8","Burn2_TF9","Burn2_TF10","Burn2_TF11","Burn2_TF12","Burn2_TF13","Burn2_TF14","Burn3_TF1","Burn3_TF2","Burn3_TF3","Burn3_TF4","Burn3_TF5","Burn3_TF6","Burn3_TF7","Burn3_TF8","Burn3_TF9","Burn4_TF1","Burn4_TF2","Burn4_TF3","Burn4_TF4","Burn4_TF5","Burn4_TF6","A1_TF1","A1_TF2","A2_TF1","A2_TF2","A3_TF1","A3_TF2","A3_TF3","A4_TF1","A5_TF1","A5_TF2","A6_TF1","A6_TF2","A6_TF3","A6_TF4","A6_TF5","B1_TF1","B1_TF2","B1_TF3","B2_TF1","B2_TF2","B2_TF3","B2_TF4","B2_TF5","B2_TF6","B2_TF7","B2_TF8","B2_TF9","B2_TF10","B2_TF11","B3_TF1","B3_TF2","B3_TF3","B3_TF4","B3_TF5","B3_TF6","B3_TF7","B3_TF8","B3_TF9","B3_TF10","B3_TF11","B3_TF12","B3_TF13","B3_TF14","B3_TF15","B3_TF16","B3_TF17","B4_TF1","B4_TF2","B4_TF3","B4_TF4","B5_TF1","B5_TF2","C1_TF1","C2_TF1","C2_TF2","C2_TF3","C2_TF4","C2_TF5","C2_TF6","C3_TF1","C4_TF1","C4_TF2","C4_TF3","C4_TF4","C4_TF5","C4_TF6","C5_TF1","C5_TF2","C6_TF1","Target1","Target2","Target3","Target4","Target5","Target6","Target7","Target8","Target9","Target10","Target11","Target12","Target13","Target14","Target15","Target16","Target17","Target18","Target19","Target20","Target21","Target22","Target23","Target24","Target25","Target26","Target27","Target28","Target29","Target30","Target31","Target32","Target33","Target34","Target35","Target36","Target37","Target38","Target39","Target40","Target41","Target42","Target43","Target44","Target45","Target46","Target47","Target48","Target49","Target50","Target51","Target52","Target53","Target54","Target55","Target56","Target57","Target58","Target59","Target60","Target61","Target62","Target63","Target64","Target65","Target66","Target67","Target68","Target69","Target70","Target71","Target72","Target73","Target74","Target75","Target76","Target77","Target78","Target79","Target80","Target81","Target82","Target83","Target84","Target85","Target86","Target87","Target88","Target89","Target90","Target91","Target92","Target93","Target94","Target95","Target96","Target97","Target98","Target99","Target100","Target101","Target102","Target103","Target104","Target105","Target106","Target107","Target108","Target109","Target110","Target111","Target112","Target113","Target114","Target115","Target116","Target117","Target118","Target119","Target120","Target121","Target122","Target123","Target124","Target125","Target126","Target127","Target128","Target129","Target130","Target131","Target132","Target133","Target134","Target135","Target136","Target137","Target138","Target139","Target140","Target141","Target142","Target143","Target144","Target145","Target146","Target147","Target148","Target149","Target150","Target151","Target152","Target153","Target154","Target155","Target156","Target157","Target158","Target159","Target160","Target161","Target162","Target163","Target164","Target165","Target166","Target167","Target168","Target169","Target170","Target171","Target172","Target173","Target174","Target175","Target176","Target177","Target178","Target179","Target180","Target181","Target182","Target183","Target184","Target185","Target186","Target187","Target188","Target189","Target190","Target191","Target192","Target193","Target194","Target195","Target196","Target197","Target198","Target199","Target200","Target201","Target202","Target203","Target204","Target205","Target206","Target207","Target208","Target209","Target210","Target211","Target212","Target213","Target214","Target215","Target216","Target217","Target218","Target219","Target220","Target221","Target222","Target223","Target224","Target225","Target226","Target227","Target228","Target229","Target230","Target231","Target232","Target233","Target234","Target235","Target236","Target237","Target238","Target239","Target240","Target241","Target242","Target243","Target244","Target245","Target246","Target247","Target248","Target249","Target250","Target251","Target252","Target253","Target254","Target255","Target256","Target257","Target258","Target259","Target260","Target261","Target262","Target263","Target264","Target265","Target266","Target267","Target268","Target269","Target270","Target271","Target272","Target273","Target274","Target275","Target276","Target277","Target278","Target279","Target280","Target281","Target282","Target283","Target284","Target285","Target286","Target287","Target288","Target289","Target290","Target291","Target292","Target293","Target294","Target295","Target296","Target297","Target298","Target299","Target300","Target301","Target302","Target303","Target304","Target305","Target306","Target307","Target308","Target309","Target310","Target311","Target312","Target313","Target314","Target315","Target316","Target317","Target318","Target319","Target320","Target321","Target322","Target323","Target324","Target325","Target326","Target327","Target328","Target329","Target330","Target331","Target332","Target333","Target334","Target335","Target336","Target337","Target338","Target339","Target340","Target341","Target342","Target343","Target344","Target345","Target346","Target347","Target348","Target349","Target350","HK1","HK2","HK3","HK4","HK5","HK6","HK7","HK8","HK9","HK10"
"cell1",43,55,48,35,53,39,43,56,35,68,32,35,15,32,47,16,25,45,13,34,27,37,37,55,18,53,52,18,22,40,27,36,39,51,21,20,74,29,37,39,14,21,53,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,17,0,26,23,0,0,0,0,48,0,50,0,40,0,21,28,23,0,0,0,32,0,0,0,32,12,0,39,0,40,23,25,0,8,0,0,0,54,0,67,3,0,33,27,0,0,0,26,5,15,0,2,0,0,0,0,31,0,0,0,52,0,5,0,20,36,30,35,39,29,28,48,0,30,3,0,24,40,0,0,0,0,0,28,0,0,0,43,20,21,39,52,25,57,0,0,25,33,25,42,0,0,32,21,0,21,40,15,0,0,0,16,48,0,7,48,45,29,40,50,14,39,49,7,2,0,20,55,28,22,0,72,44,0,0,30,33,0,50,42,34,0,0,35,0,11,0,0,51,42,0,0,0,20,0,0,0,36,0,0,15,0,46,0,0,0,22,53,0,41,30,0,54,30,26,40,59,17,2,3,0,37,41,33,0,43,6,35,0,0,1,0,0,28,0,31,0,4,17,45,0,43,15,6,14,33,30,0,32,0,0,51,34,0,18,29,48,27,60,1,0,0,40,12,40,0,0,50,0,0,0,0,37,59,55,0,0,48,59,19,38,0,0,0,0,0,0,0,34,0,17,0,0,27,37,0,0,0,29,33,54,0,0,0,0,28,0,0,14,25,53,15,2,61,0,0,0,3,18,0,9,28,61,36,43,0,0,0,29,0,0,0,37,0,0,0,0,0,0,49,50,0,0,21,28,61,34,60,1,34,45,37,31,0,0,0,0,32,43,54,3,5,38,25,0,33,0,0,0,0,0,0,24,28,16,0,0,0,7,0,0,3,0,6,65,23,0,32,0,72,60,28,29,48,18,35,33,48
"cell2",71,47,50,44,29,46,43,37,38,76,28,23,9,36,33,18,30,39,24,32,23,19,30,45,28,28,33,32,19,59,29,32,23,54,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,14,0,29,15,0,0,0,0,37,0,23,0,25,1,12,21,19,0,0,0,24,1,0,0,30,11,0,26,0,30,24,35,0,6,0,0,0,29,0,42,0,0,14,27,0,0,0,24,5,10,0,0,0,0,0,0,48,0,0,0,27,0,9,0,0,34,33,24,33,22,36,61,0,29,13,0,28,22,0,0,0,0,0,44,0,0,0,51,24,11,33,42,20,36,0,0,23,32,44,0,0,0,22,26,0,31,52,6,0,0,0,9,35,0,1,26,41,24,38,60,21,25,50,10,16,0,19,46,21,15,0,53,42,0,0,35,26,0,39,40,22,0,0,42,0,22,0,0,29,0,0,0,0,0,0,0,0,31,0,0,12,0,45,0,0,0,27,52,0,22,23,1,49,32,18,35,32,38,3,0,0,15,27,62,0,46,0,21,20,28,38,0,0,44,0,25,0,0,0,47,0,44,25,4,17,31,36,0,26,0,0,43,39,0,27,18,46,29,41,2,0,0,17,8,31,0,0,36,0,0,0,0,0,37,43,0,0,22,42,13,29,0,0,0,0,0,0,0,0,0,9,0,0,44,29,0,0,0,19,21,35,0,0,0,0,23,0,0,12,30,45,10,0,27,0,0,0,0,5,1,18,34,37,43,32,0,0,0,35,0,0,0,51,0,0,0,0,0,0,34,29,0,0,33,23,54,18,28,0,34,30,35,27,0,0,34,0,37,28,68,4,2,29,23,0,41,0,0,0,0,0,0,21,22,13,0,0,0,18,0,0,24,0,1,56,43,0,21,0,39,70,29,30,42,20,36,32,40
"cell3",50,55,45,65,37,30,84,39,34,90,25,33,10,45,47,27,29,32,19,19,24,34,51,57,43,55,45,35,39,37,39,34,35,77,20,18,62,14,39,16,21,35,50,41,12,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,4,0,27,24,0,0,0,0,40,0,59,0,45,0,20,35,25,0,0,0,24,5,6,0,26,16,0,46,0,42,17,34,0,7,0,0,0,48,0,78,2,0,26,36,0,0,0,45,28,8,0,1,0,0,0,0,40,0,0,0,22,0,9,0,42,42,31,30,35,28,23,47,0,15,13,0,25,34,0,0,0,0,0,26,0,1,0,61,30,11,47,65,24,40,0,0,36,43,24,84,0,0,17,37,0,24,71,10,0,0,0,9,55,0,1,47,57,38,29,64,38,37,50,20,6,0,9,57,17,11,0,64,40,0,0,39,45,0,53,39,42,0,0,40,0,22,0,0,34,42,0,0,0,29,0,0,0,29,0,0,29,0,63,0,0,0,30,42,0,30,36,0,66,31,18,35,40,46,0,2,0,19,53,37,0,57,21,32,0,0,0,0,0,32,0,25,0,17,59,81,0,67,18,6,12,60,38,0,31,0,0,37,41,0,16,24,45,30,35,0,0,0,42,15,47,0,0,56,0,0,0,0,54,43,66,0,0,37,39,21,28,8,0,0,0,0,0,0,46,0,9,0,0,41,43,0,0,0,26,20,29,0,0,0,0,46,0,0,31,32,49,25,0,57,0,0,0,3,18,0,25,38,58,34,33,0,0,0,23,0,0,0,74,0,23,1,1,2,0,36,26,0,0,27,23,72,23,51,0,21,45,65,23,0,0,2,1,40,41,39,0,2,38,36,0,55,1,0,0,0,0,0,27,16,20,0,0,0,20,0,0,0,0,0,76,52,0,46,0,51,68,41,40,26,17,42,24,45
"cell4",83,71,54,72,62,67,67,48,50,105,42,41,18,41,49,22,34,42,25,48,50,28,44,73,59,60,47,63,60,51,55,32,47,77,42,15,2,2,3,5,26,16,28,53,34,33,25,17,41,38,64,90,12,39,52,44,56,49,38,57,40,25,54,81,46,39,55,52,84,55,59,55,76,68,61,47,49,67,75,59,51,71,37,40,36,81,53,60,30,30,29,34,32,25,37,2,39,54,45,32,48,36,0,1,38,2,1,0,89,38,0,54,77,36,28,39,3,45,0,42,1,0,39,22,49,25,34,36,8,25,40,39,15,86,66,62,0,0,2,33,0,107,47,47,79,22,68,5,89,44,0,42,20,0,4,3,10,56,0,52,57,62,0,0,12,0,0,51,0,39,0,51,55,38,34,45,37,31,71,52,4,0,66,32,4,26,28,25,21,90,4,25,2,0,67,40,11,46,64,28,66,36,42,42,43,51,76,50,43,1,0,26,20,69,0,31,62,68,0,65,0,4,1,75,48,60,95,51,50,75,23,28,0,22,0,0,5,35,91,28,0,0,0,41,0,67,22,6,44,17,10,86,0,48,52,2,51,38,52,32,27,27,41,25,0,26,72,0,30,67,81,45,25,0,0,51,45,24,2,73,44,5,54,75,56,3,1,0,40,56,53,20,79,29,54,26,2,1,66,41,42,43,3,58,11,100,78,0,66,32,17,14,51,90,36,2,62,77,49,35,37,36,31,55,0,0,0,67,55,2,1,1,53,19,0,39,70,34,62,60,2,0,73,27,37,53,43,0,84,19,34,72,58,47,0,61,41,18,69,33,1,43,68,42,45,2,0,0,37,36,66,69,0,51,59,0,2,52,5,0,50,43,41,60,0,30,0,2,48,83,37,0,45,83,25,0,36,61,40,3,68,59,22,45,49,95,28,40,0,50,0,29,58,56,47,5,55,52,38,19,0,0,17,0,50,32,0,6,10,26,20,0,61,0,59,32,84,89,29,38,30,50,52,67,25,23,48,45,36,31,0,76,53,37,0,0,94,64,31,59,52,20,50,41,40
"cell5",57,55,42,46,44,35,63,27,23,75,35,27,8,30,32,13,38,48,21,20,16,39,49,41,29,41,54,30,44,45,34,24,34,34,21,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,2,4,0,0,0,1,0,1,0,6,21,1,15,15,3,14,11,11,6,1,7,22,12,12,0,22,15,31,55,40,33,38,10,17,21,23,49,18,29,2,31,32,31,21,46,45,0,0,33,0,0,0,44,29,38,38,60,22,16,54,0,43,0,24,1,9,31,19,20,6,13,21,4,24,27,26,14,44,50,32,0,0,0,27,3,59,33,19,47,26,69,1,53,23,3,20,24,0,1,1,15,30,0,55,57,37,0,0,0,0,0,24,0,19,0,44,49,33,20,39,31,32,47,55,0,17,30,21,5,47,8,11,30,42,24,8,0,0,47,39,15,31,40,23,66,49,17,46,40,79,55,12,17,7,11,4,19,46,18,14,7,23,11,29,0,0,11,30,35,29,35,25,32,39,14,15,0,14,31,25,2,33,47,39,2,0,1,40,0,41,31,0,44,19,0,49,13,49,33,4,30,28,33,33,17,21,43,38,0,31,32,0,24,50,43,35,18,20,43,39,38,14,0,54,45,3,27,47,25,0,0,0,25,38,33,29,52,2,29,22,41,46,70,31,13,25,0,40,0,74,36,0,34,15,11,14,22,34,17,0,64,26,50,37,23,28,19,30,29,56,2,39,37,0,26,3,48,30,0,19,46,18,49,41,9,1,35,26,23,43,23,2,0,23,27,49,28,37,0,0,0,0,0,0,30,0,0,35,4,15,22,40,20,12,36,27,4,29,68,0,0,53,8,0,47,27,49,18,1,22,0,18,37,49,21,0,24,64,17,0,32,45,29,5,0,0,0,0,0,0,28,28,0,10,13,34,69,35,60,2,32,43,25,27,0,0,15,0,32,25,56,3,1,32,22,1,45,0,3,0,0,84,1,28,21,27,37,64,34,31,28,25,36,0,3,56,37,42,0,0,57,53,36,38,38,23,33,27,33
"cell6",58,54,60,69,38,52,62,52,37,80,38,32,13,35,54,34,29,48,34,19,30,23,70,36,23,40,50,43,41,43,41,39,26,36,38,20,50,30,29,18,31,22,49,49,34,34,27,16,30,22,50,12,14,31,4,5,5,7,0,3,5,2,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,19,0,22,20,0,0,0,0,36,0,52,0,34,0,11,40,13,0,0,0,28,2,9,0,42,34,0,33,0,50,30,54,0,18,0,0,0,57,0,76,4,0,21,28,0,0,0,39,15,4,0,0,2,0,0,0,42,0,0,0,31,3,7,0,32,46,46,39,49,40,27,43,6,57,2,2,26,23,0,0,0,0,0,33,0,1,0,32,30,12,34,45,31,58,0,41,42,47,38,76,0,0,33,34,0,31,54,9,0,0,0,20,44,0,0,42,58,42,49,64,28,13,53,6,7,0,19,48,32,40,0,51,83,0,0,42,36,0,52,30,33,0,0,45,0,24,0,0,40,45,0,0,0,22,0,0,0,43,0,0,27,0,70,0,0,28,0,7,30,44,27,2,50,41,27,47,53,32,0,2,0,30,40,32,0,65,28,43,0,0,0,0,0,52,0,35,11,19,86,33,0,42,19,8,17,40,37,0,23,0,0,33,31,0,25,20,33,7,0,0,0,0,53,5,39,0,0,55,0,0,0,0,45,59,44,0,0,36,52,29,3,37,0,0,0,0,52,0,52,14,11,41,8,30,40,48,0,0,34,32,33,0,0,0,0,35,0,0,23,31,61,16,0,42,0,0,0,2,25,0,30,30,81,49,34,0,0,0,28,0,0,0,65,0,55,13,28,17,51,28,34,0,0,15,32,61,47,71,0,40,38,46,18,0,0,1,0,27,28,8,4,1,32,17,0,47,3,54,25,30,0,1,29,17,36,0,0,0,26,0,0,0,1,7,55,54,0,28,0,54,67,39,31,34,10,48,36,46
"cell7",61,42,39,70,46,49,71,37,17,76,32,31,32,30,52,28,33,41,14,40,24,38,61,66,32,56,66,37,32,26,40,32,24,35,32,15,0,3,1,0,0,0,0,0,0,0,3,0,0,2,3,32,23,32,44,44,40,41,23,50,21,38,25,36,36,29,61,31,44,38,60,28,42,38,52,31,53,50,45,45,46,44,35,33,53,47,16,50,31,32,23,40,33,38,37,0,34,32,34,29,66,25,0,0,24,4,0,0,52,19,0,34,51,21,17,43,0,38,0,38,0,0,25,48,27,27,40,20,10,19,18,20,13,57,44,37,0,0,0,28,0,57,27,22,62,31,58,4,33,12,0,54,37,0,12,4,2,26,0,40,34,48,0,5,0,0,0,28,0,23,0,44,45,16,23,27,27,33,56,59,1,0,41,22,0,40,13,18,21,56,0,31,0,0,73,33,17,31,50,23,65,50,24,59,34,26,39,33,23,3,1,21,27,46,0,23,58,35,0,31,0,2,7,77,30,38,64,34,15,41,8,15,0,18,0,0,6,36,56,28,0,0,0,40,0,69,29,0,30,15,2,45,2,29,29,0,34,39,23,27,29,15,36,33,0,35,22,0,9,52,65,56,36,0,0,32,27,33,0,45,29,1,31,58,34,1,1,0,17,51,38,17,55,16,28,26,52,32,40,23,26,29,0,83,0,68,34,0,77,26,7,17,37,36,18,0,31,45,40,43,31,30,25,41,44,45,0,53,41,2,1,0,71,16,0,15,44,26,53,45,7,1,37,35,29,53,20,0,19,30,28,67,37,37,0,0,15,19,27,13,22,41,42,29,45,0,0,0,16,47,37,47,0,19,41,1,1,54,34,0,41,32,26,51,1,26,0,6,39,58,37,0,36,44,24,2,21,51,24,0,40,22,1,6,2,10,34,56,0,16,0,27,46,42,57,0,22,30,59,25,0,0,28,0,29,39,0,7,7,36,17,0,39,1,42,29,52,85,22,35,21,30,29,59,21,16,33,25,26,23,1,41,53,20,0,0,45,61,42,28,35,19,35,28,45
"cell8",72,69,44,69,49,54,70,44,24,86,34,55,18,41,62,39,26,42,16,53,25,28,49,52,48,36,44,28,24,40,41,58,33,62,20,19,3,0,0,0,1,9,29,30,45,54,30,25,47,47,53,48,21,46,32,46,80,27,29,48,22,29,51,30,43,27,61,57,69,71,39,39,45,63,50,31,45,61,40,27,45,74,24,51,51,54,63,63,31,29,30,51,43,48,29,3,24,51,53,45,52,34,0,1,33,8,0,0,60,39,1,50,58,36,16,60,0,58,0,34,0,0,29,24,40,22,53,29,7,34,41,35,4,71,38,50,0,1,0,21,3,66,44,24,66,38,71,3,47,40,0,46,40,0,6,1,5,43,0,43,50,48,0,0,10,0,0,26,1,20,0,40,64,46,30,40,35,18,61,49,2,0,40,26,0,53,32,30,37,49,2,29,0,0,58,39,12,39,54,30,62,50,35,45,49,46,57,31,29,3,3,15,20,60,0,46,62,53,1,50,0,0,3,46,23,49,60,49,30,56,32,20,0,27,0,0,1,32,90,41,0,1,0,41,2,46,38,0,48,34,2,59,0,35,35,5,29,36,38,27,25,27,39,30,1,29,44,0,28,54,70,50,47,0,2,47,21,46,2,84,54,0,37,40,36,3,1,0,37,48,54,28,48,20,46,16,4,18,71,30,43,33,2,60,23,84,51,0,55,41,5,13,41,31,21,2,21,38,85,52,29,42,22,59,1,0,0,75,41,5,10,0,72,30,0,29,57,23,36,57,5,0,92,29,31,57,24,0,61,18,30,72,42,43,0,59,33,21,45,32,0,58,43,22,41,0,0,0,18,32,33,49,0,53,50,0,0,69,35,0,61,53,26,56,0,39,0,2,22,56,35,0,37,64,27,0,40,40,46,0,58,38,12,17,31,49,31,38,0,19,1,41,65,36,57,0,35,45,40,29,0,0,5,0,33,30,3,4,0,36,27,3,21,0,58,33,44,90,22,29,28,23,31,69,23,15,40,26,41,30,3,61,54,39,0,1,54,72,37,37,53,27,43,23,85
"cell9",67,48,62,44,59,56,56,51,33,74,29,42,23,41,40,13,62,45,18,30,20,33,58,54,52,36,42,35,27,44,57,26,30,65,29,17,0,0,1,0,0,0,0,0,1,0,3,1,6,1,2,48,10,16,36,40,57,30,28,44,15,20,27,47,40,18,46,28,37,55,49,36,66,37,47,31,43,62,43,33,60,60,28,52,40,30,44,37,21,21,24,35,41,27,20,3,29,39,38,26,45,35,0,1,36,1,0,0,66,29,0,33,59,30,23,35,0,35,0,32,0,0,44,40,45,27,56,23,5,29,19,40,13,54,34,37,0,0,0,26,0,40,26,39,37,28,62,5,48,16,0,32,21,0,3,4,5,34,0,36,44,68,0,2,6,0,0,25,0,15,0,37,47,47,23,24,16,43,71,46,0,0,46,23,0,29,26,11,26,50,1,20,0,0,46,37,8,27,48,31,56,59,36,25,32,46,51,35,18,5,5,13,27,42,0,23,35,51,2,27,0,0,4,43,31,49,77,32,21,59,10,31,0,19,0,0,2,36,48,36,0,0,0,54,0,49,28,0,33,23,1,55,0,31,38,3,25,22,29,34,20,40,37,33,0,30,51,0,19,56,83,45,29,0,1,38,29,39,1,57,39,2,27,39,26,0,2,0,25,36,27,16,52,17,48,21,56,26,54,12,44,29,0,38,0,81,25,0,56,40,1,10,58,34,18,0,55,23,46,36,31,23,13,44,43,47,0,45,28,1,10,0,61,18,0,31,39,28,47,46,2,0,63,27,19,60,17,0,9,30,30,21,31,31,0,0,10,13,30,8,33,39,21,40,37,0,0,0,34,28,32,55,0,30,45,2,4,38,16,0,43,32,30,29,1,13,0,2,38,75,29,0,22,58,31,1,37,55,27,0,59,14,1,3,3,1,35,22,0,21,0,23,51,44,51,4,33,38,50,36,0,0,33,0,27,35,0,1,4,22,34,0,52,1,32,22,35,36,16,37,20,23,26,33,14,23,45,27,35,15,1,66,30,29,0,0,61,73,43,35,36,16,45,28,36
"cell10",58,43,33,46,43,40,69,48,38,80,38,58,20,33,42,22,34,29,24,36,15,30,52,53,21,36,64,33,28,33,35,29,28,52,35,18,0,2,0,0,0,0,0,3,12,9,24,20,40,30,46,43,10,43,54,32,45,30,44,35,19,39,32,69,41,36,49,25,51,46,42,31,72,52,58,37,42,53,51,36,52,87,33,47,35,50,44,42,19,21,24,25,44,34,33,5,20,38,45,31,52,30,0,0,33,3,0,0,68,35,0,41,46,20,20,64,0,29,0,32,0,2,42,28,52,30,45,24,13,24,21,40,13,60,41,31,0,0,0,23,2,59,52,20,55,20,49,0,54,31,0,26,24,0,7,0,4,28,0,38,42,61,0,1,12,0,0,43,1,16,0,39,48,13,23,48,34,26,85,58,0,0,29,33,0,41,18,21,36,46,0,15,0,0,53,17,18,40,60,29,35,42,28,20,52,39,46,28,28,0,3,22,26,55,0,23,35,43,0,44,0,2,1,66,37,31,46,28,19,42,24,21,0,32,0,0,0,42,85,33,0,0,0,31,0,48,28,1,53,25,2,43,0,47,36,4,51,41,26,25,24,26,37,31,0,23,43,0,20,58,66,41,40,0,0,43,36,40,0,55,28,4,46,43,29,1,2,0,35,35,33,21,55,27,37,26,57,29,47,28,34,12,4,55,17,65,42,0,43,21,1,8,38,57,27,2,55,47,44,31,14,23,19,50,37,10,3,47,58,1,0,0,55,17,0,27,29,39,39,29,3,0,52,29,48,47,34,0,39,11,60,49,20,30,0,8,17,18,74,29,2,37,41,49,35,0,0,0,39,37,39,39,0,32,36,4,3,42,12,0,38,39,58,42,0,24,0,6,45,37,32,0,48,53,17,2,23,36,25,0,35,50,9,24,23,70,28,27,0,23,0,24,57,30,52,5,38,27,41,24,0,0,27,0,27,29,0,6,0,38,29,0,39,3,35,28,30,61,22,24,18,32,26,40,34,19,36,27,27,26,2,61,34,26,0,0,44,62,43,32,47,22,27,31,47
