"","M1_TF1","M1_TF2","M1_TF3","M1_TF4","M1_TF5","M1_TF6","M1_TF7","M1_TF8","M1_TF9","M1_TF10","M1_TF11","M2_TF1","M2_TF2","M2_TF3","M2_TF4","M3_TF1","M3_TF2","M3_TF3","M3_TF4","M3_TF5","M4_TF1","M4_TF2","M5_TF1","M5_TF2","M5_TF3","Target1","Target2","Target3","Target4","Target5","Target6","Target7","Target8","Target9","Target10","Target11","Target12","Target13","Target14","Target15","Target16","Target17","Target18","Target19","Target20","Target21","Target22","Target23","Target24","Target25","Target26","Target27","Target28","Target29","Target30","Target31","Target32","Target33","Target34","Target35","Target36","Target37","Target38","Target39","Target40","Target41","Target42","Target43","Target44","Target45","Target46","Target47","Target48","Target49","Target50","Target51","Target52","Target53","Target54","Target55","Target56","Target57","Target58","Target59","Target60","Target61","Target62","Target63","Target64","Target65","Target66","Target67","Target68","Target69","Target70","Target71","Target72","Target73","Target74","Target75","Target76","Target77","Target78","Target79","Target80","Target81","Target82","Target83","Target84","Target85","Target86","Target87","Target88","Target89","Target90","Target91","Target92","Target93","Target94","Target95","Target96","Target97","Target98","Target99","Target100","Target101","Target102","Target103","Target104","Target105","Target106","Target107","Target108","Target109","Target110","Target111","Target112","Target113","Target114","Target115","Target116","Target117","Target118","Target119","Target120","Target121","Target122","Target123","Target124","Target125","Target126","Target127","Target128","Target129","Target130","Target131","Target132","Target133","Target134","Target135","Target136","Target137","Target138","Target139","Target140","Target141","Target142","Target143","Target144","Target145","Target146","Target147","Target148","Target149","Target150","Target151","Target152","Target153","Target154","Target155","Target156","Target157","Target158","Target159","Target160","Target161","Target162","Target163","Target164","Target165","Target166","Target167","Target168","Target169","Target170","Target171","Target172","Target173","Target174","Target175","Target176","Target177","Target178","Target179","Target180","Target181","Target182","Target183","Target184","Target185","Target186","Target187","Target188","Target189","Target190","Target191","Target192","Target193","Target194","Target195","Target196","Target197","Target198","Target199","Target200","Target201","Target202","Target203","Target204","Target205","Target206","Target207","Target208","Target209","Target210","Target211","Target212","Target213","Target214","Target215","Target216","Target217","Target218","Target219","Target220","Target221","Target222","Target223","Target224","Target225","Target226","Target227","Target228","Target229","Target230","Target231","Target232","Target233","Target234","Target235","Target236","Target237","Target238","Target239","Target240","Target241","Target242","Target243","Target244","Target245","Target246","Target247","Target248","Target249","Target250","Target251","Target252","Target253","Target254","Target255","Target256","Target257","Target258","Target259","Target260","Target261","Target262","Target263","Target264","Target265","Target266","Target267","Target268","Target269","Target270","Target271","Target272","Target273","Target274","Target275","Target276","Target277","Target278","Target279","Target280","Target281","Target282","Target283","Target284","Target285","Target286","Target287","Target288","Target289","Target290","Target291","Target292","Target293","Target294","Target295","Target296","Target297","Target298","Target299","Target300","Target301","Target302","Target303","Target304","Target305","Target306","Target307","Target308","Target309","Target310","Target311","Target312","Target313","Target314","Target315","Target316","Target317","Target318","Target319","Target320","Target321","Target322","Target323","Target324","Target325","Target326","Target327","Target328","Target329","Target330","Target331","Target332","Target333","Target334","Target335","Target336","Target337","Target338","Target339","Target340","Target341","Target342","Target343","Target344","Target345","Target346","Target347","Target348","Target349","Target350","HK1","HK2","HK3","HK4","HK5","HK6","HK7","HK8","HK9","HK10"
"cell1",1,10,3,1,0,0,0,1,1,2,0,0,0,0,0,26,49,19,14,43,27,25,7,10,37,12,27,14,3,0,0,31,7,14,0,20,0,0,7,0,7,29,0,23,29,0,26,0,2,35,27,16,17,10,12,24,10,0,55,4,24,36,24,26,28,32,14,5,12,0,14,37,0,15,41,22,12,30,11,41,10,0,36,29,32,14,23,34,0,19,41,23,22,16,32,20,37,1,15,0,23,0,25,0,14,22,24,0,3,25,17,38,17,51,0,0,0,18,35,10,1,21,23,26,26,27,22,30,0,26,17,23,24,23,25,31,11,8,15,14,0,14,35,0,16,18,16,38,0,27,32,0,0,0,10,6,17,9,6,23,3,18,0,14,0,0,2,24,16,11,24,13,1,0,9,27,12,26,18,6,14,6,0,0,14,21,6,0,50,0,0,0,0,17,0,12,0,36,22,21,24,7,11,11,0,14,2,1,22,13,26,28,18,29,14,19,37,6,27,3,0,17,20,11,15,15,6,15,11,0,37,7,33,0,1,39,1,18,13,27,16,23,0,2,25,20,26,32,23,0,25,40,15,4,0,17,21,35,0,16,37,23,13,36,58,31,23,18,0,16,26,53,0,23,0,49,29,27,1,9,22,40,24,0,24,15,3,2,11,25,19,0,4,11,35,19,14,30,6,11,1,10,24,6,25,26,36,0,25,22,17,14,12,14,16,13,10,20,3,11,10,18,8,24,8,0,0,24,27,9,50,14,0,15,29,31,16,12,34,11,0,17,3,21,0,0,0,0,6,0,29,0,7,15,0,0,19,15,3,20,0,0,15,12,17,30,22,32,20,14,27,47,31,23,22,25,0,15,0,18,50,33,49,20,0
"cell2",0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,6,8,7,2,7,19,17,13,6,15,2,20,0,7,0,0,2,0,0,3,8,0,1,10,0,8,4,1,0,11,0,14,0,0,14,22,13,7,8,8,11,6,0,13,4,15,18,13,13,25,12,12,7,7,0,9,14,0,18,21,20,9,18,17,26,12,0,13,4,8,6,16,21,0,22,21,10,10,9,15,9,27,0,8,0,11,0,11,0,9,14,7,0,0,13,7,22,6,12,1,4,0,12,8,5,0,12,12,18,20,21,5,9,2,16,2,13,13,10,14,7,13,9,8,12,0,16,11,0,5,10,15,24,0,11,19,0,1,3,3,0,0,0,7,10,6,11,0,4,9,10,5,2,0,0,0,0,13,22,0,0,0,0,2,18,0,11,0,4,0,3,0,0,17,2,0,0,0,9,0,11,12,9,14,11,5,0,0,19,0,0,5,18,2,2,0,0,8,0,0,16,0,0,0,18,18,5,8,0,0,0,2,0,0,7,11,0,2,0,0,15,0,15,12,8,13,15,0,0,13,8,0,0,2,6,2,0,0,11,14,1,14,1,10,3,0,0,5,0,2,0,0,5,1,2,0,26,15,1,9,2,0,4,7,0,9,1,5,0,6,12,0,0,14,12,9,0,0,5,9,9,0,0,10,0,6,19,9,15,0,1,8,7,2,0,0,2,0,5,14,8,14,0,18,13,14,11,0,0,0,1,17,0,0,0,19,3,4,0,1,0,3,0,1,0,11,0,0,14,17,0,0,0,0,0,7,1,0,1,0,21,13,21,0,7,0,0,3,12,0,12,5,3,6,1,2,22,8,11,14,10,0,8,0,12,21,10,25,8,0
"cell3",0,0,0,0,0,0,0,0,0,0,0,9,8,14,5,0,1,0,0,0,4,6,4,5,8,3,3,0,5,0,8,0,0,0,8,3,7,7,0,5,16,0,10,0,4,0,9,0,2,5,12,9,1,4,0,0,0,15,17,1,5,9,9,13,4,0,8,13,5,10,6,0,12,0,3,8,3,3,9,10,2,11,2,3,0,3,10,5,7,12,5,0,0,2,10,4,7,5,0,13,0,8,5,11,0,1,10,6,8,5,0,1,3,4,17,5,1,0,1,4,6,7,5,2,3,3,5,0,6,6,7,1,3,0,2,2,12,1,0,3,7,4,6,9,2,4,0,4,0,11,11,11,11,12,0,0,0,0,11,11,9,0,0,1,3,19,26,0,0,0,0,0,18,17,0,1,0,0,0,6,0,10,2,3,0,0,0,7,2,10,11,8,10,8,0,6,9,1,0,2,0,0,0,19,2,0,16,18,0,0,0,0,1,0,0,2,0,0,0,15,12,1,4,0,0,0,0,0,0,16,7,0,0,6,10,0,16,11,0,0,1,0,0,2,3,0,0,0,0,8,0,0,0,3,16,0,0,0,9,0,0,0,0,0,0,0,0,0,15,0,0,0,25,0,7,0,0,0,6,0,1,0,0,8,14,7,4,4,23,3,9,1,0,9,0,0,0,0,12,0,11,12,7,5,0,0,0,19,0,0,0,1,0,6,14,4,14,0,14,11,14,18,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0,0,0,18,0,0,8,17,9,2,2,0,4,0,9,0,0,1,18,1,14,5,0,11,4,7,8,0,13,0,0,4,16,0,15,1,8,17,16,0,12,0,9,19,22,14,7,3
"cell4",0,0,0,0,0,0,0,0,0,0,0,11,10,10,10,0,0,0,0,0,0,0,3,1,1,2,0,0,2,0,10,0,0,0,5,0,6,15,0,7,21,0,12,0,0,8,2,0,5,1,6,8,0,0,0,0,0,21,10,0,0,0,5,6,1,0,0,9,0,15,7,0,15,0,0,6,1,0,0,0,0,5,0,0,0,3,8,1,22,4,1,0,0,0,11,0,1,17,0,27,0,13,0,15,0,0,0,13,6,0,0,0,0,0,3,1,5,0,0,0,22,0,0,0,3,0,1,0,21,1,1,0,0,0,1,0,6,0,1,0,8,2,2,13,0,0,0,0,0,8,22,19,16,16,0,0,0,0,13,11,15,0,1,0,2,15,21,0,0,0,0,0,21,10,0,0,0,0,0,25,0,12,5,4,0,0,0,9,1,14,12,13,7,6,7,5,6,0,2,0,0,0,0,22,11,0,12,32,0,0,0,0,1,0,0,1,0,0,0,10,17,0,0,0,0,0,0,0,0,7,3,0,0,19,12,0,29,0,0,0,0,0,6,9,0,0,0,0,0,18,0,0,0,7,17,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,17,0,23,0,0,0,9,0,1,0,0,12,0,0,5,17,3,5,1,10,4,4,0,0,0,0,12,0,13,14,4,12,0,0,0,14,0,0,0,0,0,12,9,3,14,6,16,7,12,11,0,0,0,0,28,0,0,0,0,0,11,0,0,0,0,0,0,0,6,0,7,11,10,11,12,20,0,4,0,12,0,0,8,15,0,19,2,0,17,0,13,13,0,19,0,0,2,23,0,4,0,3,17,15,0,11,0,9,24,32,22,4,1
"cell5",54,91,60,77,23,81,43,48,41,64,48,0,0,0,0,115,145,109,57,99,100,80,18,24,9,58,90,37,0,0,0,106,55,59,0,59,0,4,67,0,21,94,21,57,122,0,83,0,0,74,112,73,58,41,36,79,34,0,138,40,59,94,130,29,114,67,50,10,58,0,42,138,0,73,105,96,50,97,80,95,36,0,84,133,116,46,99,78,0,94,152,69,76,88,131,49,124,0,72,4,72,0,89,0,71,64,77,0,0,105,58,74,50,113,0,0,0,32,106,76,0,60,104,137,134,75,48,41,2,69,98,71,47,77,105,103,88,31,66,45,0,69,112,0,61,123,73,161,0,113,133,0,0,0,53,44,79,55,0,14,0,128,0,65,0,0,2,101,23,44,90,74,0,0,60,83,112,56,66,0,39,7,7,3,53,141,38,0,130,0,0,0,0,67,0,3,12,110,130,60,70,59,74,7,0,64,19,2,39,61,57,133,71,77,100,79,113,63,56,5,0,60,82,48,29,71,12,26,58,2,93,73,74,0,0,106,0,56,59,77,132,92,0,0,106,59,94,51,81,0,136,119,32,2,0,69,45,52,0,132,107,105,77,81,92,76,106,85,0,77,88,165,0,79,0,113,72,98,5,46,81,97,49,0,38,20,65,116,11,20,8,40,29,16,103,41,50,105,0,45,6,10,85,4,160,83,92,0,127,53,53,50,51,0,6,47,0,93,0,0,0,0,28,45,44,35,0,58,43,26,158,56,0,80,82,57,66,39,84,48,0,49,114,29,0,0,0,0,38,0,45,16,39,42,0,0,105,67,0,84,0,0,18,9,74,78,90,64,57,134,68,110,65,84,93,76,0,75,0,82,98,116,108,51,24
"cell6",0,0,0,0,0,0,0,0,0,0,0,15,10,8,5,0,0,0,0,0,0,0,0,3,2,0,0,0,6,0,12,0,0,0,14,0,7,5,0,3,16,0,12,0,0,15,0,0,18,0,2,5,0,0,0,0,0,9,3,0,0,0,0,1,0,1,0,18,0,17,0,0,19,0,0,1,0,0,0,0,0,10,0,0,0,0,3,0,15,1,0,0,0,0,1,0,0,11,0,20,0,9,0,9,0,0,0,12,11,0,0,0,0,0,14,7,9,0,0,0,7,0,0,1,0,0,2,0,21,1,2,0,0,0,0,0,0,0,0,0,5,0,2,8,0,0,3,0,11,18,13,7,9,10,0,0,0,0,1,14,2,0,9,0,8,8,12,0,0,0,0,0,12,14,0,0,0,0,0,6,0,11,7,5,0,0,0,16,0,18,15,8,7,6,7,11,2,0,0,0,0,0,0,19,3,0,10,22,0,0,0,0,0,0,0,0,0,0,0,8,27,0,0,0,0,0,0,0,0,11,0,0,0,15,8,0,13,0,0,0,0,0,8,21,0,0,0,0,0,17,0,0,0,5,16,0,0,0,18,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,22,0,0,0,2,0,0,0,0,10,1,0,9,17,0,0,0,13,8,4,0,0,0,0,22,0,10,26,1,12,0,0,0,14,0,0,0,0,0,15,13,7,8,10,12,5,9,11,0,0,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,10,0,16,4,8,16,9,29,0,4,0,18,0,0,8,16,0,19,9,0,10,9,8,12,0,1,0,0,0,19,0,0,0,0,13,19,0,16,0,19,18,14,23,19,1
"cell7",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,7,32,39,10,48,24,33,10,5,24,17,19,1,14,0,0,6,5,8,0,18,0,6,6,0,10,32,0,15,35,0,18,0,0,34,27,28,7,17,14,23,9,0,36,27,20,27,30,18,36,12,10,4,11,0,20,29,0,20,23,27,28,25,28,44,18,0,25,26,28,5,23,16,0,19,31,16,19,26,31,27,64,0,27,0,21,2,20,0,12,11,19,0,2,27,18,27,24,27,0,3,0,15,23,15,1,16,20,36,24,41,15,14,0,22,27,10,19,10,36,25,19,14,29,7,2,15,22,0,15,17,40,37,0,11,32,0,0,1,14,4,13,4,8,37,11,48,0,19,1,18,4,19,18,9,16,6,11,1,1,22,3,18,10,32,2,36,0,1,7,15,2,0,29,0,0,0,0,12,0,8,11,22,23,10,8,9,17,12,0,5,7,4,12,24,10,44,28,18,19,20,16,11,7,9,6,19,35,1,7,22,8,6,25,9,26,6,17,0,2,29,1,38,23,22,19,20,0,0,26,13,17,8,15,0,31,29,10,13,6,20,18,12,0,23,9,24,7,11,18,14,12,23,0,23,9,31,2,25,4,19,15,22,10,1,25,21,10,0,24,13,0,0,21,31,29,0,0,16,32,28,10,1,18,11,3,21,16,8,23,12,32,8,26,15,19,27,1,32,22,4,20,7,27,18,20,38,13,18,0,3,15,5,6,6,28,7,2,2,6,8,9,2,24,18,5,9,0,22,0,0,0,0,13,0,11,2,7,16,0,4,35,28,0,15,0,1,5,5,9,14,34,25,5,12,13,13,19,21,27,23,0,31,0,28,19,30,35,12,3
"cell8",0,0,0,0,0,0,0,0,0,0,0,16,12,10,6,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,12,0,0,0,17,0,10,17,0,4,13,0,19,0,0,12,0,0,8,0,3,4,0,1,0,0,0,9,4,0,0,2,1,12,0,0,0,14,0,11,1,0,13,0,0,5,0,0,1,0,0,5,0,0,0,0,1,0,11,6,0,0,0,2,7,0,0,15,0,17,0,7,0,14,0,0,0,8,8,0,0,0,0,0,17,1,4,0,0,0,22,0,0,0,1,0,3,0,7,2,1,0,0,0,0,0,1,0,0,1,10,2,3,1,0,0,2,0,7,18,18,8,8,10,0,0,0,0,4,15,7,0,4,0,7,18,30,0,0,0,0,0,16,19,0,0,0,0,0,10,0,14,4,4,0,0,0,2,0,39,18,7,7,10,10,6,10,0,0,0,0,0,0,12,5,0,5,13,0,0,0,0,0,0,0,0,0,0,0,18,15,2,0,0,0,0,0,0,0,16,1,0,0,6,7,0,11,0,0,0,0,1,4,15,0,0,0,0,0,11,0,0,0,16,11,0,0,0,16,0,0,0,0,0,0,0,0,0,10,0,0,0,9,0,15,0,0,0,10,0,0,0,0,22,2,0,9,13,2,3,2,12,4,1,0,0,0,0,6,0,7,27,4,8,0,0,0,15,0,0,0,0,0,15,14,1,14,4,16,8,12,25,0,0,0,0,18,0,0,0,0,0,17,0,0,0,0,0,0,0,15,0,15,13,8,13,10,17,0,12,0,15,0,0,6,20,1,28,2,0,16,7,11,10,0,6,0,0,0,19,0,6,0,3,7,9,0,11,0,21,22,7,16,8,1
"cell9",1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,25,26,36,8,28,38,28,7,6,26,20,33,11,4,0,0,25,5,4,0,14,2,4,20,0,5,36,2,20,25,0,33,0,0,23,34,23,5,7,7,9,11,0,58,7,20,20,19,27,33,18,17,4,7,0,9,38,0,12,35,17,30,24,26,32,10,0,27,19,24,16,30,25,1,28,30,27,32,14,37,25,37,0,25,0,17,0,31,0,13,22,26,0,0,32,8,29,17,35,1,1,0,17,18,8,4,18,21,38,24,23,20,14,0,21,32,25,22,10,36,17,23,29,37,15,0,6,16,0,18,12,20,32,0,26,31,0,0,0,11,11,12,7,10,30,10,26,0,21,7,6,3,35,4,16,9,5,0,0,12,27,12,17,11,26,9,14,0,0,12,20,4,0,34,0,0,0,0,8,0,11,13,24,21,16,23,13,24,9,0,25,7,0,18,23,19,23,32,26,24,24,28,13,17,7,1,27,32,14,6,21,9,9,21,6,36,19,24,2,3,22,0,13,17,26,22,18,0,0,27,15,21,23,12,0,28,24,5,7,1,14,27,39,0,51,19,20,14,28,29,19,26,30,0,17,14,36,2,15,2,42,27,14,0,8,30,37,9,0,18,11,0,0,28,24,24,0,4,25,18,47,22,14,6,5,2,13,15,6,43,11,34,0,33,10,15,15,16,18,23,10,15,14,20,15,10,30,15,22,6,7,1,5,26,21,27,20,3,10,11,23,15,12,27,14,8,5,2,17,4,0,0,0,9,0,11,0,8,7,0,0,23,25,0,24,0,0,5,14,16,26,32,11,13,11,9,21,17,32,29,21,0,24,0,36,32,38,39,13,2
"cell10",0,1,0,2,1,1,0,0,0,0,2,0,0,0,0,8,41,34,8,32,17,9,14,10,27,7,25,3,5,0,0,27,11,9,2,19,2,2,14,0,8,27,2,5,33,0,29,0,4,23,13,15,16,13,10,25,21,0,33,5,13,42,20,13,41,19,13,5,11,0,22,34,4,17,21,13,18,18,32,25,10,0,32,16,17,8,25,20,0,31,20,17,6,24,42,25,42,4,18,5,14,0,18,0,22,23,11,0,0,12,10,17,11,27,4,0,3,20,31,14,0,21,31,27,22,28,31,21,1,31,9,15,8,10,20,27,18,8,16,8,0,10,25,0,8,17,11,47,0,28,18,0,0,0,11,6,8,3,13,34,23,34,0,14,0,8,0,19,14,13,21,3,3,0,23,27,10,14,14,28,6,16,0,0,15,12,9,0,33,1,0,0,0,15,9,5,5,36,17,22,26,12,13,8,0,22,4,4,10,16,13,34,30,21,21,23,22,13,4,12,3,11,14,6,5,20,11,9,11,13,31,5,19,0,2,23,3,28,18,18,17,17,0,0,26,17,19,8,10,0,38,31,6,5,1,18,16,13,0,26,21,22,17,11,32,14,14,31,0,19,17,29,6,18,1,29,16,17,5,6,16,18,24,0,17,15,1,8,32,22,12,0,0,11,22,31,6,7,14,10,4,17,21,13,13,23,21,6,35,8,20,23,8,21,18,3,30,7,25,6,12,25,8,18,5,4,5,0,10,3,30,11,7,11,11,9,11,7,15,15,2,16,0,26,0,0,7,0,18,12,4,2,4,5,0,0,31,17,0,16,0,2,8,16,18,14,27,19,10,10,25,20,25,20,20,37,0,17,0,30,22,42,36,16,2
