"","mol_mrna_M1_TF1","mol_mrna_M1_TF2","mol_mrna_M1_TF3","mol_mrna_M1_TF4","mol_mrna_M1_TF5","mol_mrna_M1_TF6","mol_mrna_M1_TF7","mol_mrna_M1_TF8","mol_mrna_M1_TF9","mol_mrna_M1_TF10","mol_mrna_M1_TF11","mol_mrna_M2_TF1","mol_mrna_M2_TF2","mol_mrna_M2_TF3","mol_mrna_M2_TF4","mol_mrna_M3_TF1","mol_mrna_M3_TF2","mol_mrna_M3_TF3","mol_mrna_M3_TF4","mol_mrna_M3_TF5","mol_mrna_M4_TF1","mol_mrna_M4_TF2","mol_mrna_M5_TF1","mol_mrna_M5_TF2","mol_mrna_M5_TF3","mol_mrna_Target1","mol_mrna_Target2","mol_mrna_Target3","mol_mrna_Target4","mol_mrna_Target5","mol_mrna_Target6","mol_mrna_Target7","mol_mrna_Target8","mol_mrna_Target9","mol_mrna_Target10","mol_mrna_Target11","mol_mrna_Target12","mol_mrna_Target13","mol_mrna_Target14","mol_mrna_Target15","mol_mrna_Target16","mol_mrna_Target17","mol_mrna_Target18","mol_mrna_Target19","mol_mrna_Target20","mol_mrna_Target21","mol_mrna_Target22","mol_mrna_Target23","mol_mrna_Target24","mol_mrna_Target25","mol_mrna_Target26","mol_mrna_Target27","mol_mrna_Target28","mol_mrna_Target29","mol_mrna_Target30","mol_mrna_Target31","mol_mrna_Target32","mol_mrna_Target33","mol_mrna_Target34","mol_mrna_Target35","mol_mrna_Target36","mol_mrna_Target37","mol_mrna_Target38","mol_mrna_Target39","mol_mrna_Target40","mol_mrna_Target41","mol_mrna_Target42","mol_mrna_Target43","mol_mrna_Target44","mol_mrna_Target45","mol_mrna_Target46","mol_mrna_Target47","mol_mrna_Target48","mol_mrna_Target49","mol_mrna_Target50","mol_mrna_Target51","mol_mrna_Target52","mol_mrna_Target53","mol_mrna_Target54","mol_mrna_Target55","mol_mrna_Target56","mol_mrna_Target57","mol_mrna_Target58","mol_mrna_Target59","mol_mrna_Target60","mol_mrna_Target61","mol_mrna_Target62","mol_mrna_Target63","mol_mrna_Target64","mol_mrna_Target65","mol_mrna_Target66","mol_mrna_Target67","mol_mrna_Target68","mol_mrna_Target69","mol_mrna_Target70","mol_mrna_Target71","mol_mrna_Target72","mol_mrna_Target73","mol_mrna_Target74","mol_mrna_Target75","mol_mrna_Target76","mol_mrna_Target77","mol_mrna_Target78","mol_mrna_Target79","mol_mrna_Target80","mol_mrna_Target81","mol_mrna_Target82","mol_mrna_Target83","mol_mrna_Target84","mol_mrna_Target85","mol_mrna_Target86","mol_mrna_Target87","mol_mrna_Target88","mol_mrna_Target89","mol_mrna_Target90","mol_mrna_Target91","mol_mrna_Target92","mol_mrna_Target93","mol_mrna_Target94","mol_mrna_Target95","mol_mrna_Target96","mol_mrna_Target97","mol_mrna_Target98","mol_mrna_Target99","mol_mrna_Target100","mol_mrna_Target101","mol_mrna_Target102","mol_mrna_Target103","mol_mrna_Target104","mol_mrna_Target105","mol_mrna_Target106","mol_mrna_Target107","mol_mrna_Target108","mol_mrna_Target109","mol_mrna_Target110","mol_mrna_Target111","mol_mrna_Target112","mol_mrna_Target113","mol_mrna_Target114","mol_mrna_Target115","mol_mrna_Target116","mol_mrna_Target117","mol_mrna_Target118","mol_mrna_Target119","mol_mrna_Target120","mol_mrna_Target121","mol_mrna_Target122","mol_mrna_Target123","mol_mrna_Target124","mol_mrna_Target125","mol_mrna_Target126","mol_mrna_Target127","mol_mrna_Target128","mol_mrna_Target129","mol_mrna_Target130","mol_mrna_Target131","mol_mrna_Target132","mol_mrna_Target133","mol_mrna_Target134","mol_mrna_Target135","mol_mrna_Target136","mol_mrna_Target137","mol_mrna_Target138","mol_mrna_Target139","mol_mrna_Target140","mol_mrna_Target141","mol_mrna_Target142","mol_mrna_Target143","mol_mrna_Target144","mol_mrna_Target145","mol_mrna_Target146","mol_mrna_Target147","mol_mrna_Target148","mol_mrna_Target149","mol_mrna_Target150","mol_mrna_Target151","mol_mrna_Target152","mol_mrna_Target153","mol_mrna_Target154","mol_mrna_Target155","mol_mrna_Target156","mol_mrna_Target157","mol_mrna_Target158","mol_mrna_Target159","mol_mrna_Target160","mol_mrna_Target161","mol_mrna_Target162","mol_mrna_Target163","mol_mrna_Target164","mol_mrna_Target165","mol_mrna_Target166","mol_mrna_Target167","mol_mrna_Target168","mol_mrna_Target169","mol_mrna_Target170","mol_mrna_Target171","mol_mrna_Target172","mol_mrna_Target173","mol_mrna_Target174","mol_mrna_Target175","mol_mrna_Target176","mol_mrna_Target177","mol_mrna_Target178","mol_mrna_Target179","mol_mrna_Target180","mol_mrna_Target181","mol_mrna_Target182","mol_mrna_Target183","mol_mrna_Target184","mol_mrna_Target185","mol_mrna_Target186","mol_mrna_Target187","mol_mrna_Target188","mol_mrna_Target189","mol_mrna_Target190","mol_mrna_Target191","mol_mrna_Target192","mol_mrna_Target193","mol_mrna_Target194","mol_mrna_Target195","mol_mrna_Target196","mol_mrna_Target197","mol_mrna_Target198","mol_mrna_Target199","mol_mrna_Target200","mol_mrna_Target201","mol_mrna_Target202","mol_mrna_Target203","mol_mrna_Target204","mol_mrna_Target205","mol_mrna_Target206","mol_mrna_Target207","mol_mrna_Target208","mol_mrna_Target209","mol_mrna_Target210","mol_mrna_Target211","mol_mrna_Target212","mol_mrna_Target213","mol_mrna_Target214","mol_mrna_Target215","mol_mrna_Target216","mol_mrna_Target217","mol_mrna_Target218","mol_mrna_Target219","mol_mrna_Target220","mol_mrna_Target221","mol_mrna_Target222","mol_mrna_Target223","mol_mrna_Target224","mol_mrna_Target225","mol_mrna_Target226","mol_mrna_Target227","mol_mrna_Target228","mol_mrna_Target229","mol_mrna_Target230","mol_mrna_Target231","mol_mrna_Target232","mol_mrna_Target233","mol_mrna_Target234","mol_mrna_Target235","mol_mrna_Target236","mol_mrna_Target237","mol_mrna_Target238","mol_mrna_Target239","mol_mrna_Target240","mol_mrna_Target241","mol_mrna_Target242","mol_mrna_Target243","mol_mrna_Target244","mol_mrna_Target245","mol_mrna_Target246","mol_mrna_Target247","mol_mrna_Target248","mol_mrna_Target249","mol_mrna_Target250","mol_mrna_Target251","mol_mrna_Target252","mol_mrna_Target253","mol_mrna_Target254","mol_mrna_Target255","mol_mrna_Target256","mol_mrna_Target257","mol_mrna_Target258","mol_mrna_Target259","mol_mrna_Target260","mol_mrna_Target261","mol_mrna_Target262","mol_mrna_Target263","mol_mrna_Target264","mol_mrna_Target265","mol_mrna_Target266","mol_mrna_Target267","mol_mrna_Target268","mol_mrna_Target269","mol_mrna_Target270","mol_mrna_Target271","mol_mrna_Target272","mol_mrna_Target273","mol_mrna_Target274","mol_mrna_Target275","mol_mrna_Target276","mol_mrna_Target277","mol_mrna_Target278","mol_mrna_Target279","mol_mrna_Target280","mol_mrna_Target281","mol_mrna_Target282","mol_mrna_Target283","mol_mrna_Target284","mol_mrna_Target285","mol_mrna_Target286","mol_mrna_Target287","mol_mrna_Target288","mol_mrna_Target289","mol_mrna_Target290","mol_mrna_Target291","mol_mrna_Target292","mol_mrna_Target293","mol_mrna_Target294","mol_mrna_Target295","mol_mrna_Target296","mol_mrna_Target297","mol_mrna_Target298","mol_mrna_Target299","mol_mrna_Target300","mol_mrna_Target301","mol_mrna_Target302","mol_mrna_Target303","mol_mrna_Target304","mol_mrna_Target305","mol_mrna_Target306","mol_mrna_Target307","mol_mrna_Target308","mol_mrna_Target309","mol_mrna_Target310","mol_mrna_Target311","mol_mrna_Target312","mol_mrna_Target313","mol_mrna_Target314","mol_mrna_Target315","mol_mrna_Target316","mol_mrna_Target317","mol_mrna_Target318","mol_mrna_Target319","mol_mrna_Target320","mol_mrna_Target321","mol_mrna_Target322","mol_mrna_Target323","mol_mrna_Target324","mol_mrna_Target325","mol_mrna_Target326","mol_mrna_Target327","mol_mrna_Target328","mol_mrna_Target329","mol_mrna_Target330","mol_mrna_Target331","mol_mrna_Target332","mol_mrna_Target333","mol_mrna_Target334","mol_mrna_Target335","mol_mrna_Target336","mol_mrna_Target337","mol_mrna_Target338","mol_mrna_Target339","mol_mrna_Target340","mol_mrna_Target341","mol_mrna_Target342","mol_mrna_Target343","mol_mrna_Target344","mol_mrna_Target345","mol_mrna_Target346","mol_mrna_Target347","mol_mrna_Target348","mol_mrna_Target349","mol_mrna_Target350","mol_mrna_HK1","mol_mrna_HK2","mol_mrna_HK3","mol_mrna_HK4","mol_mrna_HK5","mol_mrna_HK6","mol_mrna_HK7","mol_mrna_HK8","mol_mrna_HK9","mol_mrna_HK10"
"1",4,5,2,1,0,0,1,1,2,2,0,0,0,0,0,25,49,25,19,39,29,28,9,9,31,14,29,16,2,0,0,31,18,13,1,22,0,2,12,0,9,28,0,17,27,0,23,0,1,38,28,25,12,9,11,20,15,0,43,7,24,36,24,18,27,27,19,4,14,0,13,44,0,24,35,29,21,28,17,35,10,0,30,23,24,10,24,28,0,26,35,26,23,18,37,28,36,1,18,0,30,0,26,0,14,24,24,0,2,19,13,33,13,44,0,1,0,16,28,14,1,19,32,30,30,31,31,27,0,29,19,21,24,17,30,28,16,10,12,16,0,17,30,1,22,21,19,33,0,33,27,0,0,0,13,6,18,12,5,21,8,25,0,19,0,0,2,19,12,13,24,19,2,0,13,24,17,28,18,8,13,6,1,0,15,31,9,0,39,0,0,0,0,17,0,10,2,38,18,16,25,21,19,7,0,23,3,1,22,13,22,35,20,35,20,15,33,10,19,3,0,23,31,14,15,19,9,12,17,2,34,6,26,0,1,30,1,20,19,27,23,31,0,1,26,23,22,31,23,0,32,43,17,4,0,17,15,31,0,19,29,25,18,29,41,23,26,24,0,15,22,47,0,30,0,47,27,20,2,15,26,47,20,0,21,22,2,3,20,28,19,2,2,14,27,18,17,27,5,10,1,7,27,4,27,29,25,0,33,15,22,16,12,21,16,13,6,21,5,9,5,15,12,21,13,4,0,17,25,7,32,16,0,16,23,30,14,12,22,11,0,16,3,22,0,0,0,0,10,0,27,1,13,12,0,0,29,22,1,19,0,0,12,9,27,23,25,23,16,13,23,45,28,18,20,28,0,18,0,28,39,43,43,20,1
"2",0,0,0,0,0,0,0,0,0,0,0,5,7,5,3,6,10,10,4,16,32,28,17,19,30,7,29,0,12,0,0,2,0,2,3,18,0,1,22,1,27,7,2,1,30,0,35,0,0,20,30,23,13,15,15,23,15,1,33,19,28,35,27,26,30,22,20,12,14,0,11,27,0,23,40,34,21,36,26,39,18,0,27,21,19,15,27,24,0,44,48,18,19,18,26,17,31,1,14,1,22,0,20,0,13,20,19,0,1,27,12,31,12,31,1,12,0,13,19,8,1,24,35,33,31,32,17,25,3,33,15,22,20,16,28,18,28,22,20,20,0,29,29,1,17,27,19,35,0,27,31,0,3,5,4,0,0,0,12,22,12,19,0,6,9,25,17,4,3,0,0,0,16,23,0,11,0,1,2,28,0,25,0,5,0,5,0,0,27,1,0,0,0,13,0,16,14,15,24,23,6,1,0,29,0,0,7,37,3,3,1,1,12,0,0,19,0,1,0,34,34,16,20,0,0,0,2,0,1,23,29,0,5,0,1,24,2,17,11,19,28,29,0,1,28,18,0,0,1,16,7,1,0,20,30,1,13,1,17,7,0,0,7,1,4,1,0,16,3,5,1,34,18,2,31,2,0,7,10,0,19,8,6,0,24,20,0,1,33,29,19,0,0,16,17,21,0,0,17,0,20,31,19,18,1,2,14,29,4,0,0,6,0,20,27,5,33,2,27,22,24,32,1,6,0,2,33,0,0,1,30,2,14,0,1,1,4,0,3,1,28,0,0,24,24,0,0,0,4,0,18,1,0,3,0,29,36,28,0,8,0,0,8,20,0,30,18,11,9,2,2,32,17,22,20,20,0,24,0,28,38,30,42,12,2
"3",0,0,0,0,0,0,0,0,0,0,0,13,15,21,11,0,1,0,0,1,5,6,9,12,26,6,9,0,10,0,18,0,0,0,14,8,12,20,2,11,32,1,20,0,4,1,14,0,5,14,25,19,4,4,3,3,1,19,32,5,8,23,21,21,7,2,9,18,8,25,15,4,28,3,9,25,7,6,16,17,4,19,3,4,5,6,22,10,9,32,9,0,0,7,29,7,17,12,0,21,1,11,7,19,1,4,9,8,14,6,0,4,4,8,19,8,4,1,3,3,9,20,9,11,11,13,13,0,16,15,16,1,3,2,10,6,25,3,3,9,11,8,23,14,2,6,0,5,1,24,22,17,28,13,0,0,0,0,20,17,18,2,0,1,18,28,35,0,0,0,0,0,23,28,0,1,0,0,0,23,0,19,2,12,0,0,0,11,5,21,32,13,16,11,7,11,8,2,1,4,0,0,0,30,2,0,25,36,0,0,0,0,3,0,0,3,0,0,0,32,32,5,9,0,0,0,0,0,0,34,13,0,0,16,19,0,36,15,0,3,2,3,1,11,6,0,0,0,0,17,0,0,0,11,39,0,3,0,14,0,0,0,0,0,0,0,0,0,24,0,0,6,39,0,20,0,0,0,12,0,1,0,0,19,21,17,4,10,32,10,14,6,2,20,0,0,0,0,19,0,17,35,11,19,0,0,0,28,0,0,0,1,0,21,29,6,38,0,35,19,28,29,0,0,0,0,28,0,0,0,0,0,19,0,0,0,0,0,0,0,23,0,1,17,31,16,4,2,2,7,0,12,0,0,2,29,2,34,4,0,19,10,19,17,0,22,1,0,10,25,0,31,1,18,32,24,0,18,0,23,29,35,37,16,5
"4",0,0,0,0,0,0,0,0,0,0,0,28,16,15,13,0,0,0,0,0,0,1,3,1,3,3,3,0,4,0,27,0,0,0,16,0,12,28,0,15,41,0,16,0,0,14,1,0,16,1,10,16,0,0,0,0,0,28,20,1,0,1,5,16,1,0,1,14,0,28,7,0,25,0,0,13,7,1,0,2,0,9,0,0,1,2,20,1,27,9,1,0,0,1,24,1,1,19,0,32,0,22,0,31,0,0,0,25,15,0,0,0,1,0,10,7,13,0,0,0,29,0,0,1,3,0,3,1,31,2,5,0,0,0,1,0,11,0,1,0,13,3,3,22,0,0,0,0,4,14,38,32,28,20,0,0,0,0,13,19,14,0,3,0,17,26,36,0,0,0,0,0,35,23,0,0,0,0,0,30,0,23,10,8,0,0,0,14,1,32,27,17,15,11,12,14,13,0,1,2,0,0,0,36,13,0,19,44,0,0,0,0,4,0,0,2,0,0,0,37,43,0,0,0,0,0,0,0,0,23,4,0,0,32,20,0,53,2,0,0,0,0,20,22,0,0,0,0,0,28,0,0,0,17,27,0,0,0,17,0,0,0,0,0,0,0,0,0,19,0,0,0,34,0,37,0,0,0,19,0,2,0,0,23,7,2,17,25,4,12,3,14,11,10,0,0,1,0,21,0,26,25,4,25,0,0,0,18,0,0,0,0,0,23,24,7,29,9,26,21,27,39,0,0,0,0,37,0,0,0,0,0,25,0,0,0,0,0,0,0,14,0,21,16,21,17,17,27,0,12,0,19,0,0,18,25,0,39,6,0,22,9,24,24,0,29,0,0,2,41,0,8,0,4,29,30,0,21,0,24,35,42,46,8,2
"5",17,29,22,21,6,23,11,11,13,18,16,0,0,0,0,32,41,31,16,25,35,20,5,7,1,15,27,15,0,0,0,36,16,17,0,16,0,1,20,0,5,31,5,16,35,0,29,0,0,20,31,20,15,14,12,19,10,0,38,12,17,36,32,8,33,18,18,4,15,0,14,37,0,22,30,34,21,30,24,29,10,0,26,37,35,11,29,21,0,32,47,19,18,24,37,17,45,0,23,1,22,0,29,0,20,22,24,0,1,30,14,23,15,38,0,0,0,10,31,19,0,20,31,38,35,23,13,18,1,20,26,19,14,20,33,26,25,7,20,17,0,20,35,0,16,32,15,43,0,26,36,0,0,0,16,17,27,16,0,5,0,34,0,19,0,0,1,24,8,13,26,21,0,0,16,24,29,16,20,0,11,2,1,1,15,38,10,0,39,0,0,0,0,16,0,2,2,41,33,19,22,17,20,2,0,18,5,1,10,19,17,36,18,23,31,26,34,19,18,2,0,21,25,15,9,17,4,7,17,1,26,19,24,1,0,29,0,20,17,22,36,25,0,0,32,19,28,19,21,0,41,36,9,2,0,19,15,14,0,40,29,31,22,23,28,26,35,29,0,24,23,43,0,28,0,38,19,27,1,15,26,35,15,0,11,8,20,34,6,5,3,8,10,4,27,13,18,29,0,16,2,3,29,3,43,23,27,0,41,18,19,15,14,0,1,16,0,28,0,0,0,0,11,16,12,9,0,17,15,9,41,19,0,20,20,19,18,12,25,14,0,14,30,10,0,0,0,0,12,0,14,3,13,10,0,0,31,19,0,19,0,0,5,3,23,24,23,19,15,37,19,35,22,20,35,24,0,19,0,22,26,38,35,15,8
"6",0,0,0,0,0,0,0,0,0,0,0,24,13,18,20,0,0,0,0,0,0,0,0,1,3,2,0,0,8,0,21,0,0,0,15,0,16,14,0,13,34,0,20,0,0,25,0,1,18,0,1,7,0,0,0,0,0,20,6,0,0,1,1,5,0,1,0,27,0,31,1,0,29,0,0,5,0,0,1,0,0,24,0,0,0,0,5,0,28,7,0,0,0,0,11,0,0,16,0,26,0,28,0,17,0,0,0,16,16,0,0,0,0,0,20,7,18,0,0,0,26,0,0,1,0,0,1,0,35,1,3,0,0,0,0,0,4,0,0,0,14,0,5,17,0,0,1,0,24,25,34,24,16,26,0,0,0,0,1,28,3,1,17,0,21,25,38,0,0,0,0,0,28,25,0,0,0,0,0,13,0,24,11,8,0,0,0,17,0,32,27,12,17,12,14,16,7,0,0,0,0,0,0,26,10,0,26,45,0,0,0,0,0,0,0,0,0,0,0,22,41,0,0,0,0,0,0,0,0,20,2,0,0,30,24,0,35,0,0,0,0,0,21,28,0,0,0,0,0,29,0,0,0,14,35,0,0,0,25,0,0,0,0,0,0,0,0,0,14,0,0,0,21,0,27,0,0,0,12,0,0,0,0,23,1,0,23,28,0,0,0,19,22,3,0,0,0,0,31,0,18,39,3,20,0,0,0,20,0,0,0,0,0,26,29,4,18,18,20,12,15,26,0,0,0,0,30,0,0,0,0,0,20,0,0,0,0,0,0,0,19,0,31,6,15,25,12,36,0,14,0,36,0,0,16,37,0,33,14,0,18,11,14,26,0,4,0,0,0,31,0,0,0,0,17,28,0,32,0,33,33,25,38,16,2
"7",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14,34,34,15,32,26,34,16,11,25,24,27,6,10,0,0,7,5,9,0,18,0,5,13,0,13,26,1,15,31,0,18,0,0,27,24,28,8,14,16,23,11,0,36,21,22,32,28,21,41,19,17,3,13,0,22,29,0,18,30,27,26,28,26,31,21,0,33,21,26,12,24,22,0,21,28,23,24,21,37,32,44,0,24,1,25,1,22,0,13,13,20,0,2,28,13,23,18,33,1,1,0,22,24,9,1,21,23,32,22,34,16,22,1,21,21,17,21,14,39,21,16,13,24,12,1,17,25,0,18,17,25,34,0,13,25,0,0,1,14,4,12,7,13,24,12,41,0,19,3,16,2,18,16,13,12,5,7,3,3,17,6,14,15,35,2,35,0,1,4,13,3,0,30,0,0,0,0,17,0,14,12,23,19,21,9,8,14,14,1,10,7,5,11,26,14,41,31,17,28,18,18,10,9,7,3,17,29,4,9,21,9,9,18,17,29,5,26,1,1,33,1,25,22,20,18,19,0,0,24,11,16,8,11,1,37,27,7,8,3,14,21,16,0,25,6,18,11,24,19,18,14,28,0,22,14,48,5,26,8,21,18,23,7,1,28,26,12,0,18,28,0,0,34,24,26,0,0,15,22,24,11,7,19,11,8,29,19,7,23,10,24,4,27,12,18,24,5,39,26,7,16,5,26,16,23,28,11,24,1,6,18,5,6,5,32,10,4,4,5,8,7,2,24,14,6,8,1,22,1,0,0,0,13,0,11,1,3,10,0,7,24,34,0,17,0,1,8,11,7,12,28,20,6,10,16,36,28,22,29,26,0,31,0,31,20,33,27,14,4
"8",0,0,0,0,0,0,0,0,0,0,0,22,19,15,14,0,0,0,0,0,0,0,3,0,8,0,0,0,6,0,22,0,0,0,22,0,10,22,0,9,38,0,26,0,0,23,0,0,14,0,7,8,0,1,1,0,0,27,7,0,0,2,3,22,1,1,0,26,0,20,1,0,21,0,0,8,1,0,1,0,0,15,0,0,0,1,10,0,11,8,1,0,0,1,24,0,0,27,0,33,0,26,0,22,0,1,0,12,22,0,0,0,0,0,21,9,5,0,0,0,29,0,0,0,2,0,5,0,22,3,2,0,0,0,0,0,6,0,1,1,13,3,5,4,0,0,1,0,24,25,29,19,14,12,0,0,0,0,5,27,14,1,10,0,13,24,37,0,0,0,0,0,22,32,0,0,0,0,0,22,0,26,11,13,0,0,0,19,0,42,30,12,21,18,13,10,14,0,0,0,0,0,0,22,10,0,15,33,0,0,0,0,0,0,0,0,0,0,0,30,30,2,1,0,0,0,0,0,0,24,2,0,0,16,16,0,35,0,0,0,0,1,17,28,0,0,0,0,0,22,0,0,0,22,20,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,28,0,26,0,0,0,13,0,0,0,0,31,5,1,20,18,4,3,4,16,9,9,0,0,0,0,16,0,20,34,3,22,0,0,0,18,0,0,0,0,0,26,20,7,26,8,28,20,26,30,0,0,0,0,31,0,0,0,0,0,21,0,0,0,0,0,0,0,28,0,25,17,18,23,17,32,0,14,0,29,0,0,20,29,1,33,6,0,19,14,16,19,0,9,0,0,0,31,0,7,0,3,19,21,0,16,0,31,34,29,37,12,3
"9",2,2,0,3,0,0,0,0,0,1,0,0,0,0,0,25,26,39,10,38,30,27,12,14,26,17,30,9,3,0,0,20,5,9,0,18,1,1,21,0,7,35,1,12,23,0,32,0,0,23,28,22,12,11,7,15,11,0,42,10,23,28,25,21,34,15,21,5,10,0,8,39,0,15,37,22,24,27,25,34,17,0,30,24,25,12,29,28,1,30,30,21,23,18,37,23,42,0,21,0,25,0,30,0,13,16,28,0,0,33,15,24,21,37,1,1,0,18,20,11,2,16,24,39,25,25,17,19,0,29,24,22,21,15,31,21,21,22,30,11,1,5,29,0,21,21,22,36,1,27,30,0,0,0,13,12,23,9,13,21,10,28,0,16,2,10,1,32,7,14,13,10,3,0,13,23,10,16,11,27,9,22,0,0,17,22,3,0,31,0,0,0,0,11,0,7,13,28,24,21,24,14,19,6,0,27,5,1,18,22,19,27,25,25,23,18,35,13,19,6,2,19,30,18,10,23,9,8,21,9,37,12,24,1,1,20,0,19,22,24,19,17,0,0,27,10,19,20,18,0,37,33,11,9,1,15,22,25,0,44,18,24,13,30,24,19,28,27,0,22,18,42,4,27,4,37,24,22,3,9,30,36,13,0,17,19,1,1,30,23,22,0,2,21,20,31,19,15,8,10,1,12,14,4,31,9,27,0,29,15,24,26,15,32,26,9,10,15,19,17,10,31,12,24,5,4,1,7,19,13,26,21,1,7,13,22,15,6,22,19,4,8,1,27,2,0,0,0,15,0,16,1,5,7,0,0,22,21,0,22,0,0,5,9,15,24,31,15,9,11,13,26,20,27,28,13,0,22,0,29,31,36,33,17,1
"10",0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,17,36,28,10,35,26,15,20,15,28,12,32,3,3,0,0,23,10,11,3,24,2,2,15,0,6,25,4,6,30,0,34,0,2,35,19,19,16,13,10,18,20,0,35,10,13,43,23,13,39,25,19,5,11,0,18,28,2,20,28,16,21,31,24,31,12,0,26,24,18,16,27,24,1,38,27,14,18,21,40,30,35,2,17,4,16,1,27,0,21,24,20,0,0,16,11,21,13,34,1,0,1,21,27,20,1,22,35,30,22,26,26,27,1,36,13,21,13,13,28,29,20,10,25,8,0,12,21,0,8,17,16,41,0,26,29,0,0,0,10,6,8,9,11,32,21,30,0,17,0,8,0,15,13,9,15,4,5,0,14,27,9,19,13,26,3,20,0,0,16,16,5,0,34,1,0,0,0,18,8,9,8,29,25,20,21,12,17,8,0,21,4,3,15,17,17,29,27,29,22,17,26,14,9,12,5,14,16,7,9,20,8,7,15,15,30,5,25,0,3,25,5,22,21,24,18,19,0,1,29,18,16,11,14,0,40,28,10,4,1,17,14,19,0,37,15,29,18,18,29,15,22,29,0,22,16,35,8,29,1,31,17,21,4,8,27,29,23,0,12,20,1,5,34,25,14,0,0,17,30,27,13,9,13,7,4,20,25,12,23,23,26,4,32,6,18,25,8,31,22,5,25,10,24,9,13,21,9,26,4,4,2,2,14,7,32,15,6,14,11,11,12,7,17,18,3,15,0,29,2,0,10,0,17,9,9,4,5,13,0,0,31,26,0,15,0,1,14,14,19,17,30,23,10,7,23,30,27,20,23,37,0,19,0,26,29,36,43,13,3
