"","cell_id","step_ix","simulation_i","sim_time","num_molecules","mult","lib_size"
"1","cell1",1072,4,50.0083333333311,2268867,0.832464827699689,1103681
"2","cell2",181,1,131.000000000045,3015720,0.378588655491331,3063159
"3","cell3",158,1,108.000000000032,2754827,1.83056219217684,1730075
"4","cell4",128,1,78.0000000000081,2422860,0.600149061830008,1369257
"5","cell5",1023,4,1.00833333333333,1904597,0.34632257689832,702343
"6","cell6",1165,4,143.000000000034,3060842,0.69049408189044,3240220
"7","cell7",425,2,51.0083333333311,2348451,0.380739727397532,1251232
"8","cell8",816,3,118.00000000004,2853588,0.329114001648714,2242775
"9","cell9",487,2,113.000000000036,2904660,0.565731911330796,2443444
"10","cell10",168,1,118.00000000004,2875650,2.12939644909899,2325404
"11","cell11",840,3,142.000000000035,3181927,2.29762122262003,3830424
"12","cell12",1416,5,70.0000000000018,2398311,0.630547371492777,1316155
"13","cell13",1495,5,149.000000000029,3117552,1.18739169222281,3346457
"14","cell14",1376,5,30.0083333333323,2193465,0.658228003297428,1026955
"15","cell15",490,2,116.000000000038,2939158,0.735666591920655,2673624
"16","cell16",379,2,5.00000000000004,1913497,0.529163688925384,767265
"17","cell17",156,1,106.00000000003,2737114,1.39114816288789,1575845
"18","cell18",61,1,11,2004010,0.739968735733057,832188
"19","cell19",488,2,114.000000000037,2917417,0.361380080241725,2630402
"20","cell20",165,1,115.000000000038,2834306,0.658228003297428,2189657
"21","cell21",410,2,36.0083333333319,2264037,0.567882983236997,1097779
"22","cell22",205,1,155.000000000023,3226235,0.458178316020759,4444236
"23","cell23",159,1,109.000000000033,2763138,1.1594277574422,1806024
"24","cell24",388,2,14.0083333333332,2014991,0.337718289273517,849894
"25","cell25",846,3,148.00000000003,3254408,1.26483028084604,5205599
"26","cell26",841,3,143.000000000034,3200108,1.32936243803206,4019289
"27","cell27",496,2,122.000000000043,3037236,1.58099055133968,3181199
"28","cell28",1376,5,30.0083333333323,2193465,1.61760607346296,1032857
"29","cell29",129,1,79.0000000000089,2423380,0.767932670513666,1386979
"30","cell30",490,2,116.000000000038,2939158,0.974435573508938,2673624
"31","cell31",1151,4,129.000000000047,2885790,0.283941491618499,2390326
"32","cell32",839,3,141.000000000036,3167423,1.41560066194254,3782823
"33","cell33",1375,5,29.0083333333323,2180989,0.862341769774816,1021053
"34","cell34",755,3,57.0083333333307,2328984,0.321461351351538,1204016
"35","cell35",1371,5,25.0083333333326,2123912,0.533465832737785,991543
"36","cell36",492,2,118.00000000004,2961356,0.471084747457963,2927412
