,0
0,0
1,0
2,1
3,2
4,0
5,3
6,4
7,2
8,5
9,2
10,2
11,4
12,0
13,1
14,6
15,7
16,6
17,1
18,4
19,4
20,0
21,5
22,4
23,2
24,1
25,2
26,3
27,3
28,5
29,4
30,3
31,0
32,0
33,4
34,3
35,5
36,1
37,2
38,3
39,4
40,2
41,4
42,4
43,5
44,5
45,1
46,3
47,1
48,0
49,3
50,1
51,1
52,5
53,3
54,6
55,1
56,1
57,3
58,4
59,3
60,5
61,4
62,6
63,4
64,1
65,4
66,4
67,6
68,6
69,2
70,3
71,2
72,3
73,1
74,6
75,2
76,5
77,6
78,2
79,3
80,5
81,3
82,3
83,3
84,2
85,2
86,4
87,4
88,2
89,3
90,2
91,4
92,2
93,1
94,6
95,1
96,2
97,7
98,6
99,1
100,2
101,7
102,0
103,6
104,1
105,4
106,3
107,3
108,4
109,5
110,7
111,3
112,0
113,5
114,1
115,3
116,2
117,1
118,7
119,6
120,1
121,7
122,4
123,5
124,5
125,7
126,2
127,2
128,0
129,3
130,2
131,1
132,4
133,4
134,7
135,4
136,6
137,1
138,1
139,7
140,2
141,2
142,4
143,0
144,7
145,4
146,3
147,3
148,4
149,3
150,1
151,3
152,3
153,3
154,6
155,4
156,1
157,1
158,6
159,2
160,4
161,4
162,2
163,3
164,2
165,6
166,2
167,3
168,5
169,1
170,5
171,4
172,1
173,2
174,6
175,3
176,3
177,6
178,0
179,4
180,0
181,3
182,2
183,5
184,1
185,0
186,5
187,5
188,3
189,2
190,3
191,0
192,4
193,5
194,2
195,0
196,0
197,5
198,1
199,5
200,1
201,3
202,4
203,4
204,2
205,3
206,6
207,1
208,3
209,5
210,6
211,5
212,2
213,3
214,0
215,2
216,7
217,2
218,1
219,4
220,3
221,0
222,0
223,1
224,5
225,6
226,2
227,2
228,6
229,1
230,1
231,2
232,2
233,6
234,3
235,3
236,2
237,6
238,4
239,6
240,7
241,4
242,4
243,2
244,4
245,4
246,2
247,5
248,3
249,1
250,5
251,3
252,3
253,4
254,3
255,6
256,0
257,1
258,1
259,5
260,1
261,5
262,1
263,2
264,5
265,5
266,4
267,5
268,3
269,3
270,5
271,3
272,0
273,3
274,0
275,1
276,1
277,1
278,7
279,4
280,3
281,1
282,3
283,4
284,7
285,3
286,1
287,4
288,2
289,5
290,2
291,6
292,2
293,4
294,4
295,6
296,5
297,3
298,0
299,5
300,3
301,5
302,2
303,2
304,6
305,5
306,5
307,3
308,4
309,4
310,5
311,4
312,2
313,0
314,5
315,3
316,3
317,7
318,5
319,3
320,2
321,4
322,2
323,7
324,6
325,2
326,7
327,4
328,6
329,0
330,5
331,4
332,1
333,3
334,5
335,4
336,5
337,5
338,3
339,5
340,0
341,1
342,3
343,1
344,1
345,3
346,3
347,0
348,1
349,5
350,3
351,4
352,3
353,0
354,0
355,7
356,5
357,6
358,4
359,5
360,7
361,1
362,2
363,4
364,7
365,3
366,1
367,3
368,2
369,3
370,3
371,0
372,4
373,4
374,7
375,2
376,5
377,4
378,6
379,3
380,3
381,4
382,4
383,3
384,4
385,1
386,6
387,6
388,4
389,3
390,1
391,2
392,3
393,1
394,7
395,5
396,5
397,0
398,3
399,3
400,5
401,1
402,6
403,3
404,0
405,1
406,1
407,2
408,5
409,1
410,5
411,4
412,6
413,4
414,3
415,7
416,2
417,3
418,1
419,3
420,3
421,1
422,3
423,4
424,1
425,0
426,3
427,4
428,5
429,5
430,2
431,2
432,4
433,1
434,3
435,3
436,3
437,6
438,2
439,3
440,4
441,2
442,3
443,5
444,5
445,3
446,1
447,2
448,0
449,1
450,0
451,3
452,1
453,5
454,3
455,0
456,0
457,1
458,1
459,0
460,7
461,1
462,4
463,4
464,3
465,4
466,3
467,0
468,7
469,3
470,1
471,4
472,3
473,5
474,0
475,6
476,4
477,3
478,4
479,1
480,5
481,6
482,4
483,2
484,3
485,2
486,3
487,7
488,0
489,0
490,5
491,5
492,3
493,0
494,0
495,5
496,4
497,2
498,1
499,4
500,3
501,4
502,1
503,2
504,1
505,6
506,1
507,5
508,3
509,3
510,1
511,3
512,5
513,7
514,0
515,7
516,7
517,2
518,1
519,6
520,0
521,6
522,6
523,1
524,0
525,0
526,0
527,4
528,3
529,0
530,0
531,5
532,6
